#,R_fighter,B_fighter,date,location,country,Winner,weight_class,gender,no_of_rounds,B_losses,B_total_rounds_fought,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_losses,R_total_rounds_fought,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,win_dif,loss_dif,height_dif,reach_dif,age_dif,better_rank
1427,Valentina Shevchenko,Priscila Cachoeira,2/3/2018,"Belem, Para, Brazil", Brazil,Red,Women's Flyweight,FEMALE,3,0,0,0,Orthodox,170.18,165.1,125,2,18,3,Southpaw,165.1,167.64,125,29,29,1,0,-3,2,5.08,-2.54,0,neither
1428,Michel Prazeres,Desmond Green,2/3/2018,"Belem, Para, Brazil", Brazil,Red,Lightweight,MALE,3,1,6,1,Southpaw,177.8,185.42,155,2,25,7,Orthodox,167.64,170.18,170,36,28,-1,-5,-6,1,10.16,15.24,8,neither
1429,Tim Johnson,Marcelo Golm,2/3/2018,"Belem, Para, Brazil", Brazil,Red,Heavyweight,MALE,3,0,1,1,Orthodox,190.5,190.5,249,3,14,3,Southpaw,190.5,195.58,265,32,25,1,1,-2,3,0.0,-5.08,7,Red
1430,Douglas Silva de Andrade,Marlon Vera,2/3/2018,"Belem, Para, Brazil", Brazil,Red,Bantamweight,MALE,3,3,18,4,Switch,172.72,177.8,135,2,11,2,Orthodox,170.18,172.72,135,32,25,0,0,2,-1,2.54,5.08,7,neither
1431,Thiago Santos,Anthony Smith,2/3/2018,"Belem, Para, Brazil", Brazil,Red,Middleweight,MALE,3,2,15,4,Orthodox,193.04,193.04,205,4,18,8,Orthodox,187.96,193.04,205,34,29,0,0,-4,2,5.08,0.0,5,Red
1432,Sergio Moraes,Tim Means,2/3/2018,"Belem, Para, Brazil", Brazil,Red,Welterweight,MALE,3,7,37,9,Orthodox,187.96,190.5,170,3,23,6,Orthodox,182.88,182.88,170,35,33,0,0,3,-4,5.08,7.62,2,neither
1433,Alan Patrick,Damir Hadzovic,2/3/2018,"Belem, Para, Brazil", Brazil,Red,Lightweight,MALE,3,1,4,1,Orthodox,175.26,177.8,155,1,12,4,Southpaw,180.34,187.96,155,34,31,0,-1,-3,0,-5.08,-10.16,3,neither
1434,Maia Stevenson,Polyana Viana,2/3/2018,"Belem, Para, Brazil", Brazil,Blue,Women's Strawweight,FEMALE,3,0,0,0,Orthodox,165.1,170.18,115,0,0,0,Orthodox,162.56,157.48,115,35,25,0,0,0,0,2.54,12.7,10,neither
1435,Iuri Alcantara,Joe Soto,2/3/2018,"Belem, Para, Brazil", Brazil,Red,Bantamweight,MALE,3,4,17,3,Orthodox,167.64,165.1,135,7,37,9,Southpaw,175.26,180.34,135,37,30,1,0,-6,3,-7.62,-15.24,7,neither
1436,Deiveson Figueiredo,Joseph Morales,2/3/2018,"Belem, Para, Brazil", Brazil,Red,Flyweight,MALE,3,0,1,1,Switch,167.64,175.26,125,0,3,1,Orthodox,165.1,172.72,125,30,23,0,0,0,0,2.54,2.54,7,Red
1437,Jacare Souza,Derek Brunson,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,Middleweight,MALE,5,3,20,9,Southpaw,185.42,195.58,185,2,16,7,Orthodox,185.42,182.88,185,38,34,1,2,2,-1,0.0,12.7,4,Blue
1438,Dennis Bermudez,Andre Fili,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,Featherweight,MALE,3,4,21,5,Orthodox,180.34,187.96,145,5,33,9,Orthodox,167.64,167.64,155,31,27,2,1,-4,1,12.7,20.32,4,Red
1439,Jordan Rinaldi,Gregor Gillespie,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,Lightweight,MALE,3,0,6,3,Orthodox,170.18,180.34,155,1,4,1,Orthodox,177.8,182.88,145,30,31,0,2,2,1,-7.62,-2.54,-1,neither
1440,Drew Dober,Frank Camacho,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,Welterweight,MALE,3,0,3,1,Orthodox,177.8,185.42,170,5,17,4,Southpaw,172.72,177.8,155,29,28,0,0,-3,5,5.08,7.62,1,neither
1441,Erik Koch,Bobby Green,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,Lightweight,MALE,3,4,20,4,Orthodox,177.8,180.34,155,4,16,4,Southpaw,177.8,180.34,155,29,31,-3,0,0,0,0.0,0.0,-2,neither
1442,Mirsad Bektic,Godofredo Pepey,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,Featherweight,MALE,3,5,18,5,Orthodox,170.18,185.42,145,1,12,4,Orthodox,172.72,177.8,145,26,30,0,0,1,-4,-2.54,7.62,-4,Red
1443,Katlyn Chookagian,Mara Romero Borella,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,Women's Flyweight,FEMALE,3,0,1,1,Orthodox,167.64,175.26,125,1,9,2,Orthodox,175.26,172.72,125,29,31,0,0,-1,1,-7.62,2.54,-2,Blue
1444,Randa Markos,Juliana Lima,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,Women's Strawweight,FEMALE,3,3,17,3,Orthodox,165.1,165.1,115,4,19,3,Orthodox,162.56,160.02,115,32,35,0,0,0,1,2.54,5.08,-3,Red
1445,Justine Kish,Ji Yeon Kim,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,Women's Flyweight,FEMALE,3,1,3,0,Orthodox,170.18,182.88,125,1,9,2,Orthodox,165.1,162.56,125,29,28,0,0,-2,0,5.08,20.32,1,neither
1446,Vinc Pichel,Joaquim Silva,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,Lightweight,MALE,3,0,7,3,Orthodox,172.72,175.26,155,1,8,3,Orthodox,177.8,182.88,155,35,28,0,0,0,1,-5.08,-7.62,7,neither
