#,R_fighter,B_fighter,date,location,country,Winner,weight_class,gender,no_of_rounds,B_losses,B_total_rounds_fought,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_losses,R_total_rounds_fought,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,win_dif,loss_dif,height_dif,reach_dif,age_dif,better_rank
1371,Leon Edwards,Peter Sobotta,3/17/2018,"London, England, United Kingdom", United Kingdom,Red,Welterweight,MALE,3,4,19,4,Southpaw,182.88,190.5,170,2,22,6,Southpaw,182.88,187.96,170,26,31,0,-2,-2,-2,0.0,2.54,-5,Red
1372,John Phillips,Charles Byrd,3/17/2018,"London, England, United Kingdom", United Kingdom,Blue,Middleweight,MALE,3,0,0,0,Orthodox,177.8,185.42,185,0,0,0,Southpaw,180.34,190.5,185,32,34,0,0,0,0,-2.54,-5.08,-2,neither
1373,Danny Roberts,Oliver Enkamp,3/17/2018,"London, England, United Kingdom", United Kingdom,Red,Welterweight,MALE,3,1,3,0,Switch,182.88,195.58,170,2,10,3,Southpaw,185.42,187.96,170,30,26,0,0,-3,1,-2.54,7.62,4,neither
1374,Danny Henry,Hakeem Dawodu,3/17/2018,"London, England, United Kingdom", United Kingdom,Red,Featherweight,MALE,3,0,0,0,Orthodox,172.72,185.42,145,0,3,1,Orthodox,182.88,185.42,145,29,26,0,-1,-1,0,-10.16,0.0,3,neither
1375,Paul Craig,Magomed Ankalaev,3/17/2018,"London, England, United Kingdom", United Kingdom,Red,Light Heavyweight,MALE,3,0,0,0,Orthodox,190.5,190.5,205,2,4,1,Orthodox,190.5,193.04,205,30,25,2,0,-1,2,0.0,-2.54,5,neither
1376,Stevie Ray,Kajan Johnson,3/17/2018,"London, England, United Kingdom", United Kingdom,Blue,Lightweight,MALE,3,1,12,3,Orthodox,180.34,190.5,155,2,16,5,Southpaw,177.8,177.8,155,27,33,1,3,-2,1,2.54,12.7,-6,neither
1377,Mark Godbeer,Dmitry Sosnovskiy,3/17/2018,"London, England, United Kingdom", United Kingdom,Blue,Heavyweight,MALE,3,0,0,0,Orthodox,190.5,195.58,240,1,5,2,Orthodox,193.04,195.58,240,34,28,0,-2,-2,1,-2.54,0.0,6,neither
1378,Cris Cyborg,Yana Kunitskaya,3/3/2018,"Las Vegas, Nevada, USA", USA,Red,Women's Featherweight,FEMALE,5,0,0,0,Orthodox,167.64,172.72,135,0,11,4,Orthodox,172.72,172.72,145,32,28,0,-4,-4,0,-5.08,0.0,4,Red
1379,Frankie Edgar,Brian Ortega,3/3/2018,"Las Vegas, Nevada, USA", USA,Blue,Featherweight,MALE,3,1,15,5,Switch,172.72,175.26,145,6,79,16,Orthodox,167.64,172.72,145,36,27,0,3,-11,5,5.08,2.54,9,Red
1380,Sean O'Malley,Andre Soukhamthath,3/3/2018,"Las Vegas, Nevada, USA", USA,Red,Bantamweight,MALE,3,2,8,1,Orthodox,175.26,177.8,135,0,3,1,Switch,180.34,182.88,135,23,29,0,0,0,-2,-5.08,-5.08,-6,neither
1381,Stefan Struve,Andrei Arlovski,3/3/2018,"Las Vegas, Nevada, USA", USA,Blue,Heavyweight,MALE,3,9,47,15,Orthodox,190.5,195.58,240,7,35,12,Orthodox,210.82,213.36,265,30,39,1,1,3,-2,-20.32,-17.78,-9,Red
1382,Cat Zingano,Ketlen Vieira,3/3/2018,"Las Vegas, Nevada, USA", USA,Blue,Women's Bantamweight,FEMALE,3,0,8,3,Orthodox,172.72,172.72,135,2,10,2,Southpaw,167.64,172.72,145,35,26,2,3,1,2,5.08,0.0,9,Blue
1383,Ashley Yoder,Mackenzie Dern,3/3/2018,"Las Vegas, Nevada, USA", USA,Blue,Women's Strawweight,FEMALE,3,0,0,0,Orthodox,162.56,160.02,115,2,6,0,Southpaw,170.18,175.26,115,30,24,2,0,0,2,-7.62,-15.24,6,neither
1384,Beneil Dariush,Alexander Hernandez,3/3/2018,"Las Vegas, Nevada, USA", USA,Blue,Lightweight,MALE,3,0,0,0,Orthodox,175.26,182.88,155,4,26,8,Southpaw,177.8,182.88,155,28,25,2,0,-8,4,-2.54,0.0,3,Red
1385,John Dodson,Pedro Munhoz,3/3/2018,"Las Vegas, Nevada, USA", USA,Red,Bantamweight,MALE,3,3,15,5,Orthodox,167.64,165.1,135,4,34,8,Orthodox,160.02,167.64,135,33,31,1,4,-3,1,7.62,-2.54,2,Red
1386,CB Dollaway,Hector Lombard,3/3/2018,"Las Vegas, Nevada, USA", USA,Red,Middleweight,MALE,3,7,25,3,Southpaw,175.26,180.34,185,8,36,10,Orthodox,187.96,193.04,185,34,40,-5,-1,-7,1,-12.7,-12.7,-6,neither
1387,Mike Pyle,Zak Ottow,3/3/2018,"Las Vegas, Nevada, USA", USA,Blue,Welterweight,MALE,3,2,10,2,Orthodox,180.34,182.88,170,8,36,10,Orthodox,182.88,187.96,170,42,31,1,0,-8,6,-2.54,-5.08,11,neither
1388,Bryan Caraway,Cody Stamann,3/3/2018,"Las Vegas, Nevada, USA", USA,Blue,Bantamweight,MALE,3,0,6,2,Orthodox,167.64,162.56,135,2,22,6,Orthodox,172.72,172.72,135,33,28,0,0,-4,2,-5.08,-10.16,5,Red
1389,Jordan Johnson,Adam Milstead,3/3/2018,"Las Vegas, Nevada, USA", USA,Red,Light Heavyweight,MALE,3,1,4,1,Orthodox,190.5,193.04,205,0,6,2,Orthodox,187.96,200.66,205,29,30,-1,-2,-1,-1,2.54,-7.62,-1,neither
1390,Josh Emmett,Jeremy Stephens,2/24/2018,"Orlando, Florida, USA", USA,Blue,Featherweight,MALE,5,13,73,14,Orthodox,172.72,180.34,145,1,13,4,Orthodox,167.64,177.8,145,32,31,0,0,10,-12,5.08,2.54,1,Red
1391,Jessica Andrade,Tecia Torres,2/24/2018,"Orlando, Florida, USA", USA,Red,Women's Strawweight,FEMALE,3,1,20,6,Orthodox,154.94,152.4,115,4,29,8,Orthodox,154.94,157.48,115,26,28,0,2,-2,3,0.0,-5.08,-2,Red
1392,Ovince Saint Preux,Ilir Latifi,2/24/2018,"Orlando, Florida, USA", USA,Blue,Light Heavyweight,MALE,3,3,16,6,Orthodox,177.8,185.42,205,5,36,10,Southpaw,190.5,203.2,205,34,34,0,-2,-4,2,-12.7,-17.78,0,Red
1393,Mike Perry,Max Griffin,2/24/2018,"Orlando, Florida, USA", USA,Blue,Welterweight,MALE,3,2,7,1,Orthodox,180.34,193.04,170,2,13,4,Orthodox,177.8,180.34,170,26,32,0,0,-3,0,2.54,12.7,-6,neither
1394,Renan Barao,Brian Kelleher,2/24/2018,"Orlando, Florida, USA", USA,Blue,Bantamweight,MALE,3,1,5,2,Switch,167.64,167.64,135,4,40,9,Orthodox,167.64,177.8,135,31,31,1,1,-7,3,0.0,-10.16,0,neither
1395,Sara McMann,Marion Reneau,2/24/2018,"Orlando, Florida, USA", USA,Blue,Women's Bantamweight,FEMALE,3,3,19,4,Orthodox,167.64,172.72,135,4,17,5,Orthodox,167.64,167.64,135,37,40,1,1,-1,1,0.0,5.08,-3,Red
1396,Maryna Moroz,Angela Hill,2/24/2018,"Orlando, Florida, USA", USA,Blue,Women's Strawweight,FEMALE,3,4,16,2,Orthodox,160.02,162.56,115,1,10,3,Orthodox,170.18,170.18,125,26,33,-1,-2,-1,-3,-10.16,-7.62,-7,Red
1397,Ben Saunders,Alan Jouban,2/24/2018,"Orlando, Florida, USA", USA,Blue,Welterweight,MALE,3,4,19,6,Southpaw,182.88,185.42,170,5,27,8,Orthodox,187.96,195.58,170,34,36,-1,0,-2,1,-5.08,-10.16,-2,neither
1398,Sam Alvey,Marcin Prachnio,2/24/2018,"Orlando, Florida, USA", USA,Red,Light Heavyweight,MALE,3,0,0,0,Orthodox,190.5,187.96,205,5,28,8,Southpaw,187.96,190.5,205,31,29,1,0,-8,5,2.54,-2.54,2,neither
1399,Rani Yahya,Russell Doane,2/24/2018,"Orlando, Florida, USA", USA,Red,Bantamweight,MALE,3,4,14,3,Orthodox,170.18,177.8,135,4,32,9,Orthodox,167.64,170.18,135,33,31,0,0,-6,0,2.54,7.62,2,neither
1400,Eric Shelton,Alex Perez,2/24/2018,"Orlando, Florida, USA", USA,Blue,Flyweight,MALE,3,0,2,1,Orthodox,167.64,165.1,135,2,9,1,Orthodox,167.64,172.72,125,27,25,0,0,0,2,0.0,-7.62,2,neither
1401,Albert Morales,Manny Bermudez,2/24/2018,"Orlando, Florida, USA", USA,Blue,Bantamweight,MALE,3,0,0,0,Orthodox,177.8,180.34,135,4,14,1,Orthodox,175.26,182.88,135,26,23,2,0,-1,4,2.54,-2.54,3,neither
1402,Donald Cerrone,Yancy Medeiros,2/18/2018,"Austin, Texas, USA", USA,Red,Welterweight,MALE,5,5,20,6,Orthodox,177.8,190.5,155,7,54,19,Orthodox,185.42,185.42,155,34,30,3,3,-13,2,-7.62,5.08,4,Red
1403,Derrick Lewis,Marcin Tybura,2/18/2018,"Austin, Texas, USA", USA,Red,Heavyweight,MALE,3,2,16,3,Orthodox,190.5,198.12,249,3,25,9,Orthodox,190.5,200.66,260,33,32,0,0,-6,1,0.0,-2.54,1,Red
1404,James Vick,Francisco Trinaldo,2/18/2018,"Austin, Texas, USA", USA,Red,Lightweight,MALE,3,4,39,12,Southpaw,175.26,177.8,155,1,18,8,Orthodox,190.5,193.04,155,30,39,0,-2,4,-3,-15.24,-15.24,-9,Red
1405,Thiago Alves,Curtis Millender,2/18/2018,"Austin, Texas, USA", USA,Blue,Welterweight,MALE,3,0,0,0,Orthodox,187.96,193.04,170,8,53,14,Orthodox,175.26,177.8,170,34,30,0,-1,-14,8,12.7,15.24,4,neither
1406,Steven Peterson,Brandon Davis,2/18/2018,"Austin, Texas, USA", USA,Blue,Featherweight,MALE,3,1,3,0,Orthodox,177.8,182.88,135,0,0,0,Orthodox,177.8,177.8,145,27,27,-1,0,0,-1,0.0,5.08,0,neither
1407,Sage Northcutt,Thibault Gouti,2/18/2018,"Austin, Texas, USA", USA,Red,Lightweight,MALE,3,3,6,1,Orthodox,177.8,182.88,155,2,13,4,Orthodox,182.88,180.34,170,21,30,0,0,-3,-1,-5.08,2.54,-9,neither
1408,Jared Gordon,Diego Ferreira,2/18/2018,"Austin, Texas, USA", USA,Blue,Lightweight,MALE,3,2,10,3,Orthodox,175.26,187.96,155,0,5,2,Orthodox,175.26,172.72,155,29,33,0,-1,1,-2,0.0,15.24,-4,neither
1409,Geoff Neal,Brian Camozzi,2/18/2018,"Austin, Texas, USA", USA,Red,Welterweight,MALE,3,2,5,0,Orthodox,187.96,198.12,170,0,0,0,Southpaw,180.34,190.5,170,27,26,-2,0,0,-2,7.62,7.62,1,neither
1410,Roberto Sanchez,Joby Sanchez,2/18/2018,"Austin, Texas, USA", USA,Red,Flyweight,MALE,3,2,8,1,Orthodox,167.64,172.72,135,1,1,0,Orthodox,167.64,167.64,125,31,26,0,0,1,-1,0.0,5.08,5,neither
1411,Sarah Moras,Lucie Pudilova,2/18/2018,"Austin, Texas, USA", USA,Blue,Women's Bantamweight,FEMALE,3,1,6,1,Orthodox,172.72,170.18,125,1,7,2,Orthodox,170.18,170.18,135,29,23,0,0,-1,0,2.54,0.0,6,Red
1412,Joshua Burkman,Alex Morono,2/18/2018,"Austin, Texas, USA", USA,Blue,Welterweight,MALE,3,2,11,2,Orthodox,180.34,182.88,170,12,44,6,Orthodox,177.8,182.88,170,37,27,2,0,-4,10,2.54,0.0,10,neither
1413,Oskar Piechota,Tim Williams,2/18/2018,"Austin, Texas, USA", USA,Red,Middleweight,MALE,3,0,0,0,Orthodox,187.96,193.04,185,0,3,1,Southpaw,182.88,193.04,185,28,31,0,-1,-1,0,5.08,0.0,-3,neither
1414,Yoel Romero,Luke Rockhold,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,Middleweight,MALE,5,2,14,6,Southpaw,190.5,195.58,185,1,27,8,Southpaw,182.88,185.42,185,40,33,1,1,-2,-1,7.62,10.16,7,Red
1415,Mark Hunt,Curtis Blaydes,2/10/2018,"Perth, Western Australia, Australia", Australia,Blue,Heavyweight,MALE,3,2,11,3,Orthodox,193.04,203.2,265,7,39,8,Orthodox,177.8,182.88,265,43,26,0,1,-5,5,15.24,20.32,17,Red
1416,Tai Tuivasa,Cyril Asker,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,Heavyweight,MALE,3,2,5,2,Orthodox,182.88,187.96,247,0,1,1,Southpaw,187.96,190.5,264,24,32,0,0,1,-2,-5.08,-2.54,-8,neither
1417,Jake Matthews,Li Jingliang,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,Welterweight,MALE,3,2,14,5,Orthodox,182.88,180.34,170,3,18,5,Orthodox,180.34,185.42,170,23,29,0,2,0,1,2.54,-5.08,-6,neither
1418,Tyson Pedro,Saparbeg Safarov,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,Light Heavyweight,MALE,3,1,2,0,Orthodox,185.42,198.12,205,1,5,2,Orthodox,190.5,200.66,205,26,31,0,0,-2,0,-5.08,-2.54,-5,Red
1419,Damien Brown,Dong Hyun Ma,2/10/2018,"Perth, Western Australia, Australia", Australia,Blue,Lightweight,MALE,3,2,10,2,Orthodox,180.34,177.8,155,3,11,2,Orthodox,177.8,172.72,155,33,29,2,2,0,1,2.54,5.08,4,neither
1420,Rob Wilkinson,Israel Adesanya,2/10/2018,"Perth, Western Australia, Australia", Australia,Blue,Middleweight,MALE,3,0,0,0,Switch,193.04,203.2,185,1,2,0,Orthodox,190.5,203.2,185,25,28,1,0,0,1,2.54,0.0,-3,neither
1421,Alexander Volkanovski,Jeremy Kennedy,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,Featherweight,MALE,3,0,9,3,Orthodox,180.34,180.34,145,0,8,3,Orthodox,167.64,180.34,145,29,25,0,0,0,0,12.7,0.0,4,neither
1422,Jussier Formiga,Ben Nguyen,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,Flyweight,MALE,3,1,8,4,Switch,165.1,165.1,125,4,23,6,Orthodox,165.1,170.18,125,32,29,0,1,-2,3,0.0,-5.08,3,Red
1423,Ross Pearson,Mizuto Hirota,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,Lightweight,MALE,3,4,15,1,Orthodox,170.18,170.18,155,12,59,11,Orthodox,172.72,175.26,155,33,36,3,0,-10,8,-2.54,-5.08,-3,neither
1424,Teruto Ishihara,Jose Quinonez,2/10/2018,"Perth, Western Australia, Australia", Australia,Blue,Bantamweight,MALE,3,1,10,3,Orthodox,172.72,175.26,135,3,15,3,Southpaw,170.18,175.26,135,26,27,0,2,0,2,2.54,0.0,-1,neither
1425,Luke Jumeau,Daichi Abe,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,Welterweight,MALE,3,0,3,1,Orthodox,180.34,180.34,170,1,6,1,Orthodox,180.34,182.88,170,29,26,1,1,0,1,0.0,-2.54,3,neither
1426,Lyoto Machida,Eryk Anders,2/3/2018,"Belem, Para, Brazil", Brazil,Red,Middleweight,MALE,5,0,4,2,Southpaw,185.42,190.5,185,8,56,14,Southpaw,185.42,187.96,185,39,30,3,2,-12,8,0.0,2.54,9,Red
