,Red,R_Reach_cms,Blue,B_Reach_cms,reach_dif,ganador,mejor_alcance
1623,Yoshihiro Akiyama,185.42,Amir Sadollah,187.96,2.54,Yoshihiro Akiyama,largo
1624,Kiichi Kunimoto,180.34,Richard Walsh,185.42,5.08,Kiichi Kunimoto,largo
1625,Kyoji Horiguchi,167.64,Jon Delos Reyes,170.18,2.54,Kyoji Horiguchi,largo
1626,Katsunori Kikuno,167.64,Sam Sicilia,170.18,2.54,Katsunori Kikuno,largo
1627,Maximo Blanco,180.34,Dan Hooker,190.5,10.16,Maximo Blanco,largo
1628,Jessica Andrade,157.48,Larissa Pacheco,175.26,17.78,Jessica Andrade,largo
1629,Francisco Trinaldo,177.8,Leandro Silva,182.88,5.08,Francisco Trinaldo,largo
1630,Rani Yahya,170.18,Johnny Bedford,180.34,10.16,Rani Yahya,largo
1631,Jacare Souza,182.88,Gegard Mousasi,193.04,10.16,Jacare Souza,largo
1632,Joe Lauzon,180.34,Michael Chiesa,190.5,10.16,Joe Lauzon,largo
1633,Al Iaquinta,177.8,Rodrigo Damm,180.34,2.54,Al Iaquinta,largo
1634,Bethe Correia,162.56,Shayna Baszler,170.18,7.62,Bethe Correia,largo
1635,Chris Wade,177.8,Cain Carrizosa,187.96,10.16,Chris Wade,largo
1636,Max Holloway,175.26,Clay Collard,185.42,10.16,Max Holloway,largo
1637,Beneil Dariush,182.88,Anthony Rocco Martin,185.42,2.54,Beneil Dariush,largo
1638,Wilson Reis,165.1,Joby Sanchez,172.72,7.62,Wilson Reis,largo
1639,Tyron Woodley,187.96,Dong Hyun Kim,193.04,5.08,Tyron Woodley,largo
1640,Ning Guangyou,162.56,Jianping Yang,165.1,2.54,Ning Guangyou,largo
1641,Sai Wang,182.88,Danny Mitchell,187.96,5.08,Sai Wang,largo
1642,Ryan Bader,187.96,Ovince Saint Preux,203.2,15.24,Ryan Bader,largo
1643,Shawn Jordan,190.5,Jack May,200.66,10.16,Shawn Jordan,largo
1644,Thiago Tavares,172.72,Robert Peralta,180.34,7.62,Thiago Tavares,largo
1645,Sara McMann,167.64,Lauren Murphy,170.18,2.54,Sara McMann,largo
1646,Tom Watson,185.42,Sam Alvey,190.5,5.08,Tom Watson,largo
1647,Robbie Lawler,187.96,Matt Brown,190.5,2.54,Robbie Lawler,largo
1648,Gunnar Nelson,182.88,Zak Cummings,190.5,7.62,Gunnar Nelson,largo
1649,Gleison Tibau,180.34,Pat Healy,187.96,7.62,Gleison Tibau,largo
1650,Yosdenis Cedeno,175.26,Jerrod Sanders,182.88,7.62,Yosdenis Cedeno,largo
1651,Frankie Edgar,172.72,BJ Penn,177.8,5.08,Frankie Edgar,largo
1652,Patrick Walsh,180.34,Daniel Spohn,200.66,20.32,Patrick Walsh,largo
1653,Sarah Moras,170.18,Alexis Dufresne,172.72,2.54,Sarah Moras,largo
1654,Urijah Faber,170.18,Alex Caceres,185.42,15.24,Urijah Faber,largo
1655,Kenny Robertson,187.96,Ildemar Alcantara,198.12,10.16,Kenny Robertson,largo
1656,Cub Swanson,177.8,Jeremy Stephens,180.34,2.54,Cub Swanson,largo
1657,Kelvin Gastelum,180.34,Nico Musoke,190.5,10.16,Kelvin Gastelum,largo
1658,Marcelo Guimaraes,185.42,Andy Enz,198.12,12.7,Marcelo Guimaraes,largo
