,Red,R_Reach_cms,Blue,B_Reach_cms,reach_dif,ganador,mejor_alcance
2401,Julian Erosa,187.96,Teruto Ishihara,175.26,-12.7,Teruto Ishihara,corto
2402,Anderson Silva,195.58,Michael Bisping,190.5,-5.08,Michael Bisping,corto
2403,Jonavin Webb,180.34,Nathan Coy,175.26,-5.08,Nathan Coy,corto
2404,Marion Reneau,172.72,Ashlee Evans-Smith,170.18,-2.54,Ashlee Evans-Smith,corto
2405,Iuri Alcantara,180.34,Jimmie Rivera,172.72,-7.62,Jimmie Rivera,corto
2406,Anthony Pettis,182.88,Eddie Alvarez,175.26,-7.62,Eddie Alvarez,corto
2407,Maximo Blanco,180.34,Luke Sanders,170.18,-10.16,Luke Sanders,corto
2408,Kyle Noke,193.04,Alex Morono,182.88,-10.16,Alex Morono,corto
2409,CB Dollaway,193.04,Nate Marquardt,187.96,-5.08,Nate Marquardt,corto
2410,Sarah Kaufman,170.18,Valentina Shevchenko,167.64,-2.54,Valentina Shevchenko,corto
2411,Josh Samman,200.66,Tamdan McCrory,198.12,-2.54,Tamdan McCrory,corto
2412,Chris Weidman,198.12,Luke Rockhold,195.58,-2.54,Luke Rockhold,corto
2413,Joe Proctor,182.88,Magomed Mustafaev,180.34,-2.54,Magomed Mustafaev,corto
2414,Joe Lauzon,180.34,Evan Dunham,177.8,-2.54,Evan Dunham,corto
2415,Joby Sanchez,172.72,Geane Herrera,167.64,-5.08,Geane Herrera,corto
2416,Omari Akhmedov,185.42,Sergio Moraes,182.88,-2.54,Sergio Moraes,corto
2417,Jussier Formiga,170.18,Henry Cejudo,162.56,-7.62,Henry Cejudo,corto
2418,Valmir Lazaro,185.42,Michel Prazeres,170.18,-15.24,Michel Prazeres,corto
2419,Uriah Hall,200.66,Robert Whittaker,185.42,-15.24,Robert Whittaker,corto
2420,Stefan Struve,213.36,Jared Rosholt,190.5,-22.86,Jared Rosholt,corto
2421,Richie Vaculik,175.26,Danny Martinez,170.18,-5.08,Danny Martinez,corto
2422,Gilbert Burns,180.34,Rashid Magomedov,177.8,-2.54,Rashid Magomedov,corto
2423,Gleison Tibau,180.34,Abel Trujillo,177.8,-2.54,Abel Trujillo,corto
2424,Yan Cabral,185.42,Johnny Case,182.88,-2.54,Johnny Case,corto
2425,Clay Guida,177.8,Thiago Tavares,172.72,-5.08,Thiago Tavares,corto
2426,Kevin Souza,187.96,Chas Skelly,182.88,-5.08,Chas Skelly,corto
2427,Paddy Holohan,175.26,Louis Smolka,172.72,-2.54,Louis Smolka,corto
2428,Cathal Pendred,190.5,Tom Breese,185.42,-5.08,Tom Breese,corto
2429,Bubba Bush,185.42,Garreth McLellan,182.88,-2.54,Garreth McLellan,corto
2430,Francisco Rivera,172.72,John Lineker,170.18,-2.54,John Lineker,corto
2431,Clay Collard,185.42,Tiago Trator,177.8,-7.62,Tiago Trator,corto
2432,Chad Laprise,180.34,Francisco Trinaldo,177.8,-2.54,Francisco Trinaldo,corto
2433,Michael Johnson,185.42,Beneil Dariush,182.88,-2.54,Beneil Dariush,corto
2434,Anthony Christodoulou,182.88,Scott Holtzman,175.26,-7.62,Scott Holtzman,corto
2435,Gian Villante,193.04,Tom Lawlor,187.96,-5.08,Tom Lawlor,corto
2436,Eddie Wineland,175.26,Bryan Caraway,172.72,-2.54,Bryan Caraway,corto
2437,Ramsey Nijem,190.5,Andrew Holbrook,177.8,-12.7,Andrew Holbrook,corto
2438,Jessamyn Duke,185.42,Elizabeth Phillips,165.1,-20.32,Elizabeth Phillips,corto
2439,Marcus Brimage,180.34,Jimmie Rivera,172.72,-7.62,Jimmie Rivera,corto
2440,Igor Araujo,195.58,Sean Strickland,193.04,-2.54,Sean Strickland,corto
2441,Andrew Craig,193.04,Lyman Good,187.96,-5.08,Lyman Good,corto
2442,Angela Magana,165.1,Michelle Waterson,157.48,-7.62,Michelle Waterson,corto
2443,Mike Swick,195.58,Alex Garcia,182.88,-12.7,Alex Garcia,corto
2444,Cathal Pendred,190.5,John Howard,180.34,-10.16,John Howard,corto
2445,Lyoto Machida,187.96,Yoel Romero,185.42,-2.54,Yoel Romero,corto
2446,Santiago Ponzinibbio,185.42,Lorenz Larkin,182.88,-2.54,Lorenz Larkin,corto
2447,Steve Montgomery,190.5,Tony Sims,177.8,-12.7,Tony Sims,corto
2448,Danny Martinez,170.18,Sirwan Kakai,167.64,-2.54,Sirwan Kakai,corto
2449,Dennis Siver,177.8,Tatsuya Kawajiri,175.26,-2.54,Tatsuya Kawajiri,corto
2450,Alan Omer,180.34,Arnold Allen,177.8,-2.54,Arnold Allen,corto
2451,Niklas Backstrom,187.96,Noad Lahat,175.26,-12.7,Noad Lahat,corto
2452,Gilbert Melendez,185.42,Eddie Alvarez,175.26,-10.16,Eddie Alvarez,corto
2453,Lucas Martins,182.88,Mirsad Bektic,177.8,-5.08,Mirsad Bektic,corto
2454,Anthony Johnson,198.12,Daniel Cormier,182.88,-15.24,Daniel Cormier,corto
2455,Travis Browne,200.66,Andrei Arlovski,195.58,-5.08,Andrei Arlovski,corto
2456,Uriah Hall,200.66,Rafael Natal,193.04,-7.62,Rafael Natal,corto
2457,Mike Pyle,187.96,Colby Covington,182.88,-5.08,Colby Covington,corto
2458,Nolan Ticman,175.26,Yao Zhikui,162.56,-12.7,Yao Zhikui,corto
2459,Brad Tavares,187.96,Robert Whittaker,185.42,-2.54,Robert Whittaker,corto
2460,Anthony Perosh,190.5,Sean O'Connell,187.96,-2.54,Sean O'Connell,corto
2461,Vik Grujic,185.42,Brendan O'Reilly,175.26,-10.16,Brendan O'Reilly,corto
2462,Cub Swanson,177.8,Max Holloway,175.26,-2.54,Max Holloway,corto
2463,Corey Anderson,200.66,Gian Villante,193.04,-7.62,Gian Villante,corto
2464,Eddie Gordon,193.04,Chris Dempsey,182.88,-10.16,Chris Dempsey,corto
2465,Gabriel Gonzaga,193.04,Mirko Cro Cop,185.42,-7.62,Mirko Cro Cop,corto
2466,Izabela Badurek,165.0,Alexandra Albu,160.02,-4.98,Alexandra Albu,corto
2467,Jorge Masvidal,187.96,Al Iaquinta,177.8,-10.16,Al Iaquinta,corto
2468,Bentley Syler,172.72,Fredy Serrano,165.1,-7.62,Fredy Serrano,corto
2469,Anthony Pettis,182.88,Rafael Dos Anjos,177.8,-5.08,Rafael Dos Anjos,corto
2470,Sergio Pettis,175.26,Ryan Benoit,172.72,-2.54,Ryan Benoit,corto
2471,Antonio Silva,203.2,Frank Mir,200.66,-2.54,Frank Mir,corto
2472,Edson Barboza,190.5,Michael Johnson,185.42,-5.08,Michael Johnson,corto
2473,Cezar Ferreira,198.12,Sam Alvey,190.5,-7.62,Sam Alvey,corto
2474,Rustam Khabilov,185.42,Adriano Martins,182.88,-2.54,Adriano Martins,corto
2475,Iuri Alcantara,180.34,Frankie Saenz,167.64,-12.7,Frankie Saenz,corto
2476,Joe Lauzon,180.34,Al Iaquinta,177.8,-2.54,Al Iaquinta,corto
2477,Jordan Mein,185.42,Thiago Alves,177.8,-7.62,Thiago Alves,corto
2478,Alexander Gustafsson,200.66,Anthony Johnson,198.12,-2.54,Anthony Johnson,corto
2479,Phil Davis,200.66,Ryan Bader,187.96,-12.7,Ryan Bader,corto
2480,Akira Corassani,172.72,Sam Sicilia,170.18,-2.54,Sam Sicilia,corto
2481,Nico Musoke,190.5,Albert Tumenov,185.42,-5.08,Albert Tumenov,corto
2482,Zhang Lipeng,180.34,Chris Wade,177.8,-2.54,Chris Wade,corto
2483,Matt Van Buren,193.04,Sean O'Connell,187.96,-5.08,Sean O'Connell,corto
2484,Danny Castillo,180.34,Paul Felder,177.8,-2.54,Paul Felder,corto
2485,Marcus Brimage,180.34,Cody Garbrandt,165.1,-15.24,Cody Garbrandt,corto
2486,Antonio Carlos Junior,200.66,Patrick Cummins,193.04,-7.62,Patrick Cummins,corto
2487,Elias Silverio,185.42,Rashid Magomedov,177.8,-7.62,Rashid Magomedov,corto
2488,Darren Elkins,180.34,Hacran Dias,175.26,-5.08,Hacran Dias,corto
2489,Jamie Varner,182.88,Drew Dober,177.8,-5.08,Drew Dober,corto
2490,Anthony Birchak,175.26,Ian Entwistle,162.56,-12.7,Ian Entwistle,corto
2491,Emily Peters Kagan,167.64,Angela Hill,162.56,-5.08,Angela Hill,corto
2492,Brad Pickett,172.72,Chico Camus,167.64,-5.08,Chico Camus,corto
2493,Yves Edwards,185.42,Akbarh Arreola,180.34,-5.08,Akbarh Arreola,corto
2494,Juan Puig,182.88,Dooho Choi,177.8,-5.08,Dooho Choi,corto
2495,Richie Vaculik,175.26,Louis Smolka,172.72,-2.54,Louis Smolka,corto
2496,Vik Grujic,185.42,Chris Clements,177.8,-7.62,Chris Clements,corto
2497,Luke Zachrich,187.96,Daniel Kelly,177.8,-10.16,Daniel Kelly,corto
2498,Diego Ferreira,187.96,Beneil Dariush,182.88,-5.08,Beneil Dariush,corto
2499,Scott Jorgensen,167.64,Wilson Reis,165.1,-2.54,Wilson Reis,corto
2500,Jason Saggo,180.34,Paul Felder,177.8,-2.54,Paul Felder,corto
2501,Paddy Holohan,175.26,Chris Kelades,172.72,-2.54,Chris Kelades,corto
2502,Gunnar Nelson,182.88,Rick Story,180.34,-2.54,Rick Story,corto
2503,Niklas Backstrom,187.96,Mike Wilkinson,172.72,-15.24,Mike Wilkinson,corto
2504,Tim Kennedy,187.96,Yoel Romero,185.42,-2.54,Yoel Romero,corto
2505,Alex Caceres,185.42,Masanori Kanehara,170.18,-15.24,Masanori Kanehara,corto
2506,Kazuki Tokudome,185.42,Johnny Case,182.88,-2.54,Johnny Case,corto
2507,Antonio Silva,203.2,Andrei Arlovski,195.58,-7.62,Andrei Arlovski,corto
2508,Igor Araujo,195.58,George Sullivan,185.42,-10.16,George Sullivan,corto
2509,Alistair Overeem,203.2,Ben Rothwell,198.12,-5.08,Ben Rothwell,corto
2510,Ramsey Nijem,190.5,Diego Ferreira,187.96,-2.54,Diego Ferreira,corto
2511,Mike Pyle,187.96,Jordan Mein,185.42,-2.54,Jordan Mein,corto
2512,Elizabeth Phillips,165.1,Milana Dudieva,154.94,-10.16,Milana Dudieva,corto
2513,Gray Maynard,177.8,Ross Pearson,175.26,-2.54,Ross Pearson,corto
2514,Seth Baczynski,187.96,Alan Jouban,185.42,-2.54,Alan Jouban,corto
2515,Nolan Ticman,175.26,Frankie Saenz,167.64,-7.62,Frankie Saenz,corto
2516,Clay Guida,177.8,Dennis Bermudez,167.64,-10.16,Dennis Bermudez,corto
2517,Akbarh Arreola,180.34,Tiago Trator,177.8,-2.54,Tiago Trator,corto
2518,Andreas Stahl,185.42,Gilbert Burns,180.34,-5.08,Gilbert Burns,corto
2519,Steven Siler,177.8,Noad Lahat,175.26,-2.54,Noad Lahat,corto
2520,Brad Pickett,172.72,Ian McCall,162.56,-10.16,Ian McCall,corto
2521,Tor Troeng,195.58,Trevor Smith,190.5,-5.08,Trevor Smith,corto
2522,Jessamyn Duke,185.42,Leslie Smith,167.64,-17.78,Leslie Smith,corto
2523,Justin Scoggins,167.64,Dustin Ortiz,165.1,-2.54,Dustin Ortiz,corto
2524,Marcus Brimage,180.34,Russell Doane,177.8,-2.54,Russell Doane,corto
2525,Chris Camozzi,193.04,Bruno Santos,175.26,-17.78,Bruno Santos,corto
2526,George Roop,182.88,Rob Font,180.34,-2.54,Rob Font,corto
2527,James Te Huna,190.5,Nate Marquardt,187.96,-2.54,Nate Marquardt,corto
2528,Soa Palelei,205.74,Jared Rosholt,190.5,-15.24,Jared Rosholt,corto
2529,Daniel Sarafian,185.42,Kiichi Kunimoto,180.34,-5.08,Kiichi Kunimoto,corto
2530,Kajan Johnson,190.5,Tae Hyun Bang,180.34,-10.16,Tae Hyun Bang,corto
2531,Roland Delorme,180.34,Michinori Tanaka,170.18,-10.16,Michinori Tanaka,corto
2532,Yves Edwards,185.42,Piotr Hallmann,180.34,-5.08,Piotr Hallmann,corto
2533,Yaotzin Meza,187.96,Sergio Pettis,175.26,-12.7,Sergio Pettis,corto
2534,Bobby Voelker,190.5,Lance Benoist,185.42,-5.08,Lance Benoist,corto
2535,Marcio Alexandre Junior,190.5,Warlley Alves,182.88,-7.62,Warlley Alves,corto
2536,Rodrigo Damm,180.34,Rashid Magomedov,177.8,-2.54,Rashid Magomedov,corto
2537,Paulo Thiago,185.42,Gasan Umalatov,180.34,-5.08,Gasan Umalatov,corto
2538,Francis Carmont,198.12,CB Dollaway,193.04,-5.08,CB Dollaway,corto
2539,Luke Barnatt,195.58,Sean Strickland,193.04,-2.54,Sean Strickland,corto
2540,Renan Barao,177.8,TJ Dillashaw,170.18,-7.62,TJ Dillashaw,corto
2541,Anthony Njokuani,190.5,Vinc Pichel,182.88,-7.62,Vinc Pichel,corto
2542,David Michaud,182.88,Li Jingliang,180.34,-2.54,Li Jingliang,corto
2543,Phil Davis,200.66,Anthony Johnson,198.12,-2.54,Anthony Johnson,corto
2544,Jessamyn Duke,185.42,Bethe Correia,162.56,-22.86,Bethe Correia,corto
2545,Brad Tavares,187.96,Yoel Romero,185.42,-2.54,Yoel Romero,corto
2546,Estevan Payan,182.88,Alex White,180.34,-2.54,Alex White,corto
2547,Michael Bisping,190.5,Tim Kennedy,187.96,-2.54,Tim Kennedy,corto
2548,Minotauro Nogueira,195.58,Roy Nelson,182.88,-12.7,Roy Nelson,corto
2549,Mauricio Rua,193.04,Dan Henderson,187.96,-5.08,Dan Henderson,corto
2550,Cezar Ferreira,198.12,CB Dollaway,193.04,-5.08,CB Dollaway,corto
2551,Francimar Barroso,190.5,Hans Stringer,185.42,-5.08,Hans Stringer,corto
2552,Carlos Condit,190.5,Tyron Woodley,187.96,-2.54,Tyron Woodley,corto
2553,Jake Shields,182.88,Hector Lombard,180.34,-2.54,Hector Lombard,corto
2554,Raquel Pennington,170.18,Jessica Andrade,157.48,-12.7,Jessica Andrade,corto
2555,Sean Spencer,190.5,Alex Garcia,182.88,-7.62,Alex Garcia,corto
2556,Renee Forte,180.34,Francisco Trevino,177.8,-2.54,Francisco Trevino,corto
2557,Will Campuzano,177.8,Justin Scoggins,167.64,-10.16,Justin Scoggins,corto
2558,Cyrille Diabate,205.74,Ilir Latifi,185.42,-20.32,Ilir Latifi,corto
2559,Bradley Scott,193.04,Claudio Silva,180.34,-12.7,Claudio Silva,corto
2560,Sai Wang,182.88,Zhang Lipeng,180.34,-2.54,Zhang Lipeng,corto
2561,Kazuki Tokudome,185.42,Yui Chul Nam,175.26,-10.16,Yui Chul Nam,corto
2562,Nam Phan,177.8,Vaughan Lee,167.64,-10.16,Vaughan Lee,corto
2563,John Lineker,170.18,Ali Bagautinov,165.1,-5.08,Ali Bagautinov,corto
2564,Jamie Varner,182.88,Abel Trujillo,177.8,-5.08,Abel Trujillo,corto
2565,Anthony Rocco Martin,185.42,Rashid Magomedov,177.8,-7.62,Rashid Magomedov,corto
2566,Junior Hernandez,175.26,Hugo Viana,170.18,-5.08,Hugo Viana,corto
2567,Court McGee,190.5,Ryan LaFlare,187.96,-2.54,Ryan LaFlare,corto
2568,Scott Jorgensen,167.64,Zach Makovsky,162.56,-5.08,Zach Makovsky,corto
2569,Nick Ring,187.96,Caio Magalhaes,185.42,-2.54,Caio Magalhaes,corto
2570,Richie Vaculik,175.26,Justin Scoggins,167.64,-7.62,Justin Scoggins,corto
2571,Ben Wall,185.42,Alex Garcia,182.88,-2.54,Alex Garcia,corto
2572,Roxanne Modafferi,175.26,Raquel Pennington,170.18,-5.08,Raquel Pennington,corto
2573,Rory MacDonald,193.04,Robbie Lawler,187.96,-5.08,Robbie Lawler,corto
2574,Tim Elliott,167.64,Ali Bagautinov,165.1,-2.54,Ali Bagautinov,corto
2575,Brian Ebersole,185.42,Rick Story,180.34,-5.08,Rick Story,corto
2576,Will Campuzano,177.8,Sergio Pettis,175.26,-2.54,Sergio Pettis,corto
2577,Godofredo Pepey,185.42,Sam Sicilia,170.18,-15.24,Sam Sicilia,corto
2578,Ronny Markes,190.5,Yoel Romero,185.42,-5.08,Yoel Romero,corto
2579,Jorge Masvidal,187.96,Rustam Khabilov,185.42,-2.54,Rustam Khabilov,corto
2580,George Roop,182.88,Francisco Rivera,172.72,-10.16,Francisco Rivera,corto
2581,Chris Camozzi,193.04,Lorenz Larkin,182.88,-10.16,Lorenz Larkin,corto
2582,Neil Magny,203.2,Seth Baczynski,187.96,-15.24,Seth Baczynski,corto
2583,Rosi Sexton,160.02,Jessica Andrade,157.48,-2.54,Jessica Andrade,corto
2584,Nate Marquardt,187.96,Hector Lombard,180.34,-7.62,Hector Lombard,corto
2585,Dustin Pague,187.96,Kyoji Horiguchi,167.64,-20.32,Kyoji Horiguchi,corto
2586,Ildemar Alcantara,198.12,Igor Araujo,195.58,-2.54,Igor Araujo,corto
2587,Iliarde Santos,167.64,Chris Cariaso,160.02,-7.62,Chris Cariaso,corto
2588,Pat Healy,187.96,Khabib Nurmagomedov,177.8,-10.16,Khabib Nurmagomedov,corto
2589,Mike Ricci,195.58,Myles Jury,185.42,-10.16,Myles Jury,corto
2590,Nandor Guelmino,193.04,Daniel Omielanczuk,187.96,-5.08,Daniel Omielanczuk,corto
2591,Yushin Okami,190.5,Jacare Souza,182.88,-7.62,Jacare Souza,corto
2592,Marcos Vinicius,177.8,Ali Bagautinov,165.1,-12.7,Ali Bagautinov,corto
2593,Keith Wisniewski,190.5,Ivan Jorge,185.42,-5.08,Ivan Jorge,corto
2594,Frank Mir,200.66,Josh Barnett,198.12,-2.54,Josh Barnett,corto
2595,Jamie Varner,182.88,Gleison Tibau,180.34,-2.54,Gleison Tibau,corto
2596,Ryan Couture,190.5,Al Iaquinta,177.8,-12.7,Al Iaquinta,corto
2597,Donald Cerrone,185.42,Rafael Dos Anjos,177.8,-7.62,Rafael Dos Anjos,corto
2598,James Head,185.42,Jason High,180.34,-5.08,Jason High,corto
2599,Mauricio Rua,193.04,Chael Sonnen,187.96,-5.08,Chael Sonnen,corto
2600,Alistair Overeem,203.2,Travis Browne,200.66,-2.54,Travis Browne,corto
2601,Uriah Hall,200.66,John Howard,180.34,-20.32,John Howard,corto
2602,Vinny Magalhaes,200.66,Anthony Perosh,190.5,-10.16,Anthony Perosh,corto
2603,Ednaldo Oliveira,200.66,Francimar Barroso,190.5,-10.16,Francimar Barroso,corto
2604,Michael Chiesa,190.5,Jorge Masvidal,187.96,-2.54,Jorge Masvidal,corto
2605,Mac Danzig,177.8,Melvin Guillard,172.72,-5.08,Melvin Guillard,corto
2606,Yves Edwards,185.42,Daron Cruickshank,182.88,-2.54,Daron Cruickshank,corto
2607,Seth Baczynski,187.96,Brian Melancon,182.88,-5.08,Brian Melancon,corto
2608,Hacran Dias,175.26,Nik Lentz,172.72,-2.54,Nik Lentz,corto
2609,Frank Mir,200.66,Daniel Cormier,182.88,-17.78,Daniel Cormier,corto
2610,Nate Diaz,193.04,Josh Thomson,180.34,-12.7,Josh Thomson,corto
2611,Ramsey Nijem,190.5,Myles Jury,185.42,-5.08,Myles Jury,corto
2612,Tim Means,190.5,Jorge Masvidal,187.96,-2.54,Jorge Masvidal,corto
2613,Clifford Starks,195.58,Yoel Romero,185.42,-10.16,Yoel Romero,corto
2614,Uriah Hall,200.66,Kelvin Gastelum,180.34,-20.32,Kelvin Gastelum,corto
2615,Ryan Couture,190.5,Ross Pearson,175.26,-15.24,Ross Pearson,corto
2616,Chris Spang,194.0,Adlan Amagov,193.04,-0.96,Adlan Amagov,corto
2617,Benny Alloway,190.5,Ryan LaFlare,187.96,-2.54,Ryan LaFlare,corto
2618,Carlos Condit,190.5,Johny Hendricks,175.26,-15.24,Johny Hendricks,corto
2619,Dan Miller,187.96,Jordan Mein,185.42,-2.54,Jordan Mein,corto
2620,Stefan Struve,213.36,Mark Hunt,182.88,-30.48,Mark Hunt,corto
2621,Terry Etim,185.42,Renee Forte,180.34,-5.08,Renee Forte,corto
2622,Paul Sass,185.42,Danny Castillo,180.34,-5.08,Danny Castillo,corto
2623,Jon Fitch,193.04,Demian Maia,182.88,-10.16,Demian Maia,corto
2624,Gleison Tibau,180.34,Evan Dunham,177.8,-2.54,Evan Dunham,corto
2625,Yves Edwards,185.42,Isaac Vallie-Flagg,172.72,-12.7,Isaac Vallie-Flagg,corto
2626,Edwin Figueroa,175.26,Francisco Rivera,172.72,-2.54,Francisco Rivera,corto
2627,Simeon Thoresen,200.66,David Mitchell,193.04,-7.62,David Mitchell,corto
2628,Tim Boetsch,187.96,Costas Philippou,185.42,-2.54,Costas Philippou,corto
2629,Philip De Fries,208.28,Todd Duffee,200.66,-7.62,Todd Duffee,corto
2630,Reuben Duran,175.26,Hugo Viana,170.18,-5.08,Hugo Viana,corto
2631,Jared Papazian,170.18,Tim Elliott,167.64,-2.54,Tim Elliott,corto
2632,George Sotiropoulos,180.34,Ross Pearson,175.26,-5.08,Ross Pearson,corto
2633,Colin Fletcher,198.12,Norman Parke,177.8,-20.32,Norman Parke,corto
2634,Brendan Loughnane,177.8,Mike Wilkinson,172.72,-5.08,Mike Wilkinson,corto
2635,Nick Penner,195.58,Cody Donovan,187.96,-7.62,Cody Donovan,corto
2636,Mike Swick,195.58,Matt Brown,190.5,-5.08,Matt Brown,corto
2637,Mark Bocek,190.5,Rafael Dos Anjos,177.8,-12.7,Rafael Dos Anjos,corto
2638,Sam Stout,177.8,John Makdessi,172.72,-5.08,John Makdessi,corto
2639,Rich Franklin,190.5,Cung Le,175.26,-15.24,Cung Le,corto
2640,Luiz Cane,195.58,Chris Camozzi,193.04,-2.54,Chris Camozzi,corto
2641,Josh Neer,182.88,Justin Edwards,177.8,-5.08,Justin Edwards,corto
2642,Aaron Simpson,185.42,Mike Pierce,177.8,-7.62,Mike Pierce,corto
2643,Bart Palaszewski,177.8,Diego Nunes,170.18,-7.62,Diego Nunes,corto
2644,Paul Sass,185.42,Matt Wiman,172.72,-12.7,Matt Wiman,corto
2645,Andy Ogle,175.26,Akira Corassani,172.72,-2.54,Akira Corassani,corto
2646,DaMarques Johnson,190.5,Gunnar Nelson,182.88,-7.62,Gunnar Nelson,corto
2647,Jason Young,185.42,Robert Peralta,180.34,-5.08,Robert Peralta,corto
2648,Jared Hamman,190.5,Michael Kuiper,185.42,-5.08,Michael Kuiper,corto
2649,Ken Stone,180.34,Erik Perez,172.72,-7.62,Erik Perez,corto
2650,Dustin Pague,187.96,Chico Camus,167.64,-20.32,Chico Camus,corto
2651,Cole Miller,187.96,Nam Phan,177.8,-10.16,Nam Phan,corto
2652,Josh Grispi,187.96,Rani Yahya,170.18,-17.78,Rani Yahya,corto
2653,Court McGee,190.5,Nick Ring,187.96,-2.54,Nick Ring,corto
2654,Anthony Perosh,190.5,Ryan Jimmo,185.42,-5.08,Ryan Jimmo,corto
2655,Mitch Clarke,185.42,Anton Kuivanen,182.88,-2.54,Anton Kuivanen,corto
2656,Dong Hyun Kim,193.04,Demian Maia,182.88,-10.16,Demian Maia,corto
2657,Gleison Tibau,180.34,Khabib Nurmagomedov,177.8,-2.54,Khabib Nurmagomedov,corto
2658,Godofredo Pepey,185.42,Rony Jason,177.8,-7.62,Rony Jason,corto
2659,Iuri Alcantara,180.34,Hacran Dias,175.26,-5.08,Hacran Dias,corto
2660,Delson Heleno,183.0,Francisco Trinaldo,177.8,-5.2,Francisco Trinaldo,corto
2661,John Teixeira,173.0,Hugo Viana,170.18,-2.82,Hugo Viana,corto
2662,Cristiano Marcello,182.88,Sam Sicilia,170.18,-12.7,Sam Sicilia,corto
2663,Edson Barboza,190.5,Jamie Varner,182.88,-7.62,Jamie Varner,corto
2664,Jason MacDonald,203.2,Tom Lawlor,187.96,-15.24,Tom Lawlor,corto
2665,Alex Soto,180.34,Francisco Rivera,172.72,-7.62,Francisco Rivera,corto
2666,Josh Koscheck,185.42,Johny Hendricks,175.26,-10.16,Johny Hendricks,corto
2667,Tony Ferguson,193.04,Michael Johnson,185.42,-7.62,Michael Johnson,corto
2668,Miguel Torres,193.04,Michael McDonald,177.8,-15.24,Michael McDonald,corto
2669,Keith Wisniewski,190.5,Chris Clements,177.8,-12.7,Chris Clements,corto
2670,DaMarques Johnson,190.5,John Maguire,175.26,-15.24,John Maguire,corto
2671,Papy Abedi,187.96,James Head,185.42,-2.54,James Head,corto
2672,Court McGee,190.5,Costas Philippou,185.42,-5.08,Costas Philippou,corto
2673,Cole Miller,187.96,Steven Siler,177.8,-10.16,Steven Siler,corto
2674,Mackens Semerzier,182.88,Daniel Pineda,175.26,-7.62,Daniel Pineda,corto
2675,Yoshihiro Akiyama,185.42,Jake Shields,182.88,-2.54,Jake Shields,corto
2676,Yushin Okami,190.5,Tim Boetsch,187.96,-2.54,Tim Boetsch,corto
2677,Takeya Mizugaki,172.72,Chris Cariaso,160.02,-12.7,Chris Cariaso,corto
2678,Tiequan Zhang,177.8,Issei Tamura,160.02,-17.78,Issei Tamura,corto
2679,Diego Sanchez,182.88,Jake Ellenberger,180.34,-2.54,Jake Ellenberger,corto
2680,Anton Kuivanen,182.88,Justin Salas,177.8,-5.08,Justin Salas,corto
2681,Nick Diaz,193.04,Carlos Condit,190.5,-2.54,Carlos Condit,corto
2682,Alex Caceres,185.42,Edwin Figueroa,175.26,-10.16,Edwin Figueroa,corto
2683,Erick Silva,187.96,Carlo Prater,182.88,-5.08,Carlo Prater,corto
2684,Ricardo Funch,193.04,Mike Pyle,187.96,-5.08,Mike Pyle,corto
2685,Brock Lesnar,205.74,Alistair Overeem,203.2,-2.54,Alistair Overeem,corto
2686,Jon Fitch,193.04,Johny Hendricks,175.26,-17.78,Johny Hendricks,corto
2687,Anthony Njokuani,190.5,Danny Castillo,180.34,-10.16,Danny Castillo,corto
2688,Claude Patrick,190.5,Brian Ebersole,185.42,-5.08,Brian Ebersole,corto
2689,Krzysztof Soszynski,195.58,Igor Pokrajac,193.04,-2.54,Igor Pokrajac,corto
2690,Jared Hamman,190.5,Costas Philippou,185.42,-5.08,Costas Philippou,corto
2691,Walel Watson,175.26,Yves Jabouin,172.72,-2.54,Yves Jabouin,corto
2692,Mitch Clarke,185.42,John Cholish,182.88,-2.54,John Cholish,corto
2693,TJ Dillashaw,170.18,John Dodson,167.64,-2.54,John Dodson,corto
2694,Dustin Pague,187.96,John Albert,172.72,-15.24,John Albert,corto
2695,Mauricio Rua,193.04,Dan Henderson,187.96,-5.08,Dan Henderson,corto
2696,Matt Brown,190.5,Seth Baczynski,187.96,-2.54,Seth Baczynski,corto
2697,Norifumi Yamamoto,167.64,Darren Uyenoyama,162.56,-5.08,Darren Uyenoyama,corto
2698,Chris Leben,187.96,Mark Munoz,182.88,-5.08,Mark Munoz,corto
2699,Cyrille Diabate,205.74,Anthony Perosh,190.5,-15.24,Anthony Perosh,corto
2700,Mirko Cro Cop,185.42,Roy Nelson,182.88,-2.54,Roy Nelson,corto
2701,Dustin Jacoby,198.12,Clifford Starks,195.58,-2.54,Clifford Starks,corto
2702,Steve Cantwell,190.5,Mike Massenzio,185.42,-5.08,Mike Massenzio,corto
2703,Ben Rothwell,198.12,Mark Hunt,182.88,-15.24,Mark Hunt,corto
2704,Jake Shields,182.88,Jake Ellenberger,180.34,-2.54,Jake Ellenberger,corto
2705,Jonathan Brookins,185.42,Erik Koch,180.34,-5.08,Erik Koch,corto
2706,Matthew Riddle,187.96,Lance Benoist,185.42,-2.54,Lance Benoist,corto
2707,Luiz Cane,195.58,Stanislav Nedkov,180.34,-15.24,Stanislav Nedkov,corto
2708,Dan Hardy,187.96,Chris Lytle,172.72,-15.24,Chris Lytle,corto
2709,Jim Miller,180.34,Benson Henderson,177.8,-2.54,Benson Henderson,corto
2710,Amir Sadollah,187.96,Duane Ludwig,177.8,-10.16,Duane Ludwig,corto
2711,CB Dollaway,193.04,Jared Hamman,190.5,-2.54,Jared Hamman,corto
