,weight_class
791,Light Heavyweight
792,Featherweight
793,Lightweight
794,Featherweight
795,Welterweight
797,Lightweight
798,Lightweight
800,Light Heavyweight
801,Lightweight
802,Welterweight
803,Middleweight
805,Welterweight
806,Lightweight
807,Lightweight
809,Lightweight
810,Welterweight
811,Featherweight
812,Light Heavyweight
813,Middleweight
814,Featherweight
816,Middleweight
817,Featherweight
818,Welterweight
820,Light Heavyweight
821,Lightweight
822,Welterweight
823,Lightweight
825,Bantamweight
827,Lightweight
828,Middleweight
829,Featherweight
830,Bantamweight
831,Heavyweight
832,Middleweight
834,Bantamweight
835,Welterweight
836,Featherweight
837,Heavyweight
838,Bantamweight
839,Middleweight
840,Heavyweight
841,Welterweight
842,Light Heavyweight
843,Bantamweight
844,Lightweight
845,Welterweight
846,Heavyweight
848,Lightweight
849,Lightweight
851,Welterweight
852,Heavyweight
853,Lightweight
854,Heavyweight
856,Middleweight
857,Featherweight
858,Welterweight
859,Lightweight
860,Heavyweight
861,Light Heavyweight
862,Lightweight
863,Lightweight
864,Middleweight
865,Light Heavyweight
866,Welterweight
867,Light Heavyweight
868,Lightweight
869,Flyweight
870,Welterweight
871,Bantamweight
872,Welterweight
873,Bantamweight
875,Bantamweight
876,Lightweight
877,Middleweight
878,Featherweight
880,Light Heavyweight
881,Featherweight
883,Lightweight
884,Featherweight
885,Middleweight
886,Bantamweight
888,Bantamweight
889,Welterweight
890,Heavyweight
891,Lightweight
892,Flyweight
893,Featherweight
895,Featherweight
896,Bantamweight
899,Bantamweight
900,Flyweight
901,Welterweight
902,Welterweight
903,Light Heavyweight
904,Bantamweight
905,Welterweight
906,Middleweight
907,Featherweight
908,Lightweight
909,Light Heavyweight
910,Featherweight
912,Featherweight
913,Heavyweight
914,Welterweight
915,Welterweight
916,Heavyweight
917,Lightweight
918,Middleweight
919,Welterweight
921,Featherweight
922,Heavyweight
923,Bantamweight
924,Welterweight
925,Lightweight
926,Light Heavyweight
927,Welterweight
928,Welterweight
930,Bantamweight
931,Featherweight
932,Light Heavyweight
933,Bantamweight
934,Welterweight
935,Middleweight
938,Light Heavyweight
939,Heavyweight
940,Light Heavyweight
942,Bantamweight
943,Light Heavyweight
944,Welterweight
945,Featherweight
947,Lightweight
948,Welterweight
949,Lightweight
950,Lightweight
951,Heavyweight
952,Lightweight
954,Featherweight
955,Welterweight
956,Featherweight
957,Bantamweight
958,Bantamweight
960,Lightweight
961,Bantamweight
963,Middleweight
964,Lightweight
965,Bantamweight
967,Light Heavyweight
968,Lightweight
969,Featherweight
970,Flyweight
971,Bantamweight
972,Lightweight
973,Bantamweight
974,Bantamweight
975,Featherweight
976,Welterweight
977,Lightweight
978,Light Heavyweight
980,Middleweight
982,Welterweight
983,Heavyweight
984,Featherweight
985,Bantamweight
986,Flyweight
987,Flyweight
988,Heavyweight
989,Lightweight
990,Flyweight
992,Light Heavyweight
993,Lightweight
995,Light Heavyweight
996,Bantamweight
997,Lightweight
998,Welterweight
999,Welterweight
1000,Light Heavyweight
1002,Welterweight
1003,Light Heavyweight
1004,Featherweight
1006,Bantamweight
1007,Lightweight
1008,Bantamweight
1009,Middleweight
1010,Welterweight
1011,Bantamweight
1012,Lightweight
1013,Lightweight
1014,Bantamweight
1015,Lightweight
1016,Welterweight
1017,Lightweight
1018,Lightweight
1019,Middleweight
1020,Middleweight
1021,Featherweight
1022,Light Heavyweight
1023,Heavyweight
1024,Featherweight
1026,Welterweight
1027,Featherweight
1028,Light Heavyweight
1030,Lightweight
1032,Middleweight
1033,Bantamweight
1034,Welterweight
1035,Lightweight
1036,Light Heavyweight
1037,Heavyweight
1038,Light Heavyweight
1039,Heavyweight
1040,Welterweight
1041,Featherweight
1042,Light Heavyweight
1043,Welterweight
1044,Flyweight
1045,Welterweight
1046,Flyweight
1047,Lightweight
1048,Lightweight
1049,Welterweight
1050,Heavyweight
1052,Bantamweight
1053,Middleweight
1055,Featherweight
1056,Flyweight
1057,Heavyweight
1059,Lightweight
1060,Welterweight
1061,Bantamweight
1062,Heavyweight
1063,Heavyweight
1064,Bantamweight
1065,Welterweight
1066,Welterweight
1068,Light Heavyweight
1070,Bantamweight
1072,Middleweight
1073,Bantamweight
1074,Welterweight
1075,Featherweight
1076,Light Heavyweight
1077,Middleweight
1078,Bantamweight
1080,Welterweight
1081,Flyweight
1082,Featherweight
1083,Welterweight
1084,Lightweight
1085,Featherweight
1086,Featherweight
1087,Welterweight
1089,Lightweight
1091,Lightweight
1093,Featherweight
1094,Lightweight
1095,Lightweight
1096,Flyweight
1097,Bantamweight
1098,Heavyweight
1099,Middleweight
