,#,R_fighter,B_fighter,Referee,date,location,Winner,weight_class,no_of_rounds,B_losses,B_total_rounds_fought,B_wins,B_Stance,B_Height_cms,B_Weight_lbs,R_losses,R_total_rounds_fought,R_wins,R_Stance,R_Height_cms,R_Weight_lbs,B_age,R_age
1388,1388,Darren Elkins,Godofredo Pepey,Herb Dean,2016-07-23,"Chicago, Illinois, USA",Red,Featherweight,3,3.0,11.0,4.0,Orthodox,170.18,145.0,4.0,34.0,10.0,Orthodox,177.8,145.0,29.0,32.0
1389,1389,Kamaru Usman,Alexander Yakovlev,John McCarthy,2016-07-23,"Chicago, Illinois, USA",Red,Welterweight,3,2.0,10.0,2.0,Southpaw,190.5,155.0,0.0,5.0,2.0,Switch,182.88,170.0,32.0,29.0
1390,1390,Michel Prazeres,JC Cottrell,Robert Madrigal,2016-07-23,"Chicago, Illinois, USA",Red,Lightweight,3,0.0,0.0,0.0,Orthodox,175.26,155.0,2.0,15.0,3.0,Orthodox,167.64,170.0,26.0,34.0
1391,1391,Alex Oliveira,James Moontasri,Herb Dean,2016-07-23,"Chicago, Illinois, USA",Red,Welterweight,3,2.0,7.0,2.0,Switch,177.8,170.0,2.0,11.0,3.0,Orthodox,180.34,170.0,28.0,28.0
1392,1392,Jim Alers,Jason Knight,John McCarthy,2016-07-23,"Chicago, Illinois, USA",Blue,Featherweight,3,1.0,3.0,0.0,Orthodox,177.8,145.0,2.0,7.0,1.0,Orthodox,175.26,145.0,24.0,29.0
1393,1393,Luis Henrique,Dmitrii Smoliakov,Robert Madrigal,2016-07-23,"Chicago, Illinois, USA",Red,Heavyweight,3,0.0,0.0,0.0,Switch,187.96,253.0,1.0,2.0,0.0,Orthodox,187.96,243.0,33.0,22.0
1394,1394,Michael McDonald,John Lineker,Herb Dean,2016-07-13,"Sioux Falls, South Dakota, USA",Blue,Bantamweight,5,2.0,23.0,8.0,Orthodox,160.02,135.0,2.0,18.0,6.0,Orthodox,175.26,135.0,26.0,25.0
1395,1395,Tony Ferguson,Lando Vannata,John McCarthy,2016-07-13,"Sioux Falls, South Dakota, USA",Red,Lightweight,3,0.0,0.0,0.0,Orthodox,175.26,155.0,1.0,21.0,10.0,Orthodox,180.34,155.0,24.0,32.0
1396,1396,Tim Boetsch,Josh Samman,John McCarthy,2016-07-13,"Sioux Falls, South Dakota, USA",Red,Middleweight,3,1.0,8.0,3.0,Orthodox,190.5,185.0,9.0,41.0,9.0,Orthodox,182.88,185.0,28.0,35.0
1397,1397,Aleksei Oleinik,Daniel Omielanczuk,Kevin MacDonald,2016-07-13,"Sioux Falls, South Dakota, USA",Blue,Heavyweight,3,2.0,13.0,3.0,Southpaw,182.88,247.0,0.0,2.0,2.0,Orthodox,187.96,240.0,33.0,39.0
1398,1398,Kyle Noke,Keita Nakamura,Herb Dean,2016-07-13,"Sioux Falls, South Dakota, USA",Blue,Welterweight,3,4.0,15.0,1.0,Southpaw,180.34,170.0,4.0,20.0,6.0,Southpaw,185.42,170.0,32.0,36.0
1399,1399,Louis Smolka,Ben Nguyen,Herb Dean,2016-07-13,"Sioux Falls, South Dakota, USA",Red,Flyweight,3,0.0,2.0,2.0,Switch,165.1,125.0,1.0,14.0,4.0,Orthodox,175.26,135.0,27.0,24.0
1400,1400,Lauren Murphy,Katlyn Chookagian,Kevin MacDonald,2016-07-13,"Sioux Falls, South Dakota, USA",Blue,Women's Bantamweight,3,0.0,0.0,0.0,Orthodox,175.26,125.0,2.0,9.0,1.0,Orthodox,170.18,125.0,27.0,32.0
1401,1401,Eric Spicely,Sam Alvey,John McCarthy,2016-07-13,"Sioux Falls, South Dakota, USA",Blue,Middleweight,3,3.0,10.0,3.0,Southpaw,187.96,205.0,0.0,0.0,0.0,Orthodox,185.42,185.0,30.0,29.0
1402,1402,Cortney Casey,Cristina Stanciu,BobbyWombacher,2016-07-13,"Sioux Falls, South Dakota, USA",Red,Women's Strawweight,3,1.0,3.0,0.0,Orthodox,160.02,115.0,2.0,6.0,0.0,Orthodox,170.18,115.0,22.0,29.0
1403,1403,Scott Holtzman,Cody Pfister,Kevin MacDonald,2016-07-13,"Sioux Falls, South Dakota, USA",Red,Lightweight,3,2.0,7.0,1.0,Orthodox,177.8,155.0,1.0,6.0,1.0,Orthodox,175.26,155.0,26.0,32.0
1404,1404,Rani Yahya,Matthew Lopez,BobbyWombacher,2016-07-13,"Sioux Falls, South Dakota, USA",Red,Bantamweight,3,0.0,0.0,0.0,Southpaw,170.18,135.0,3.0,22.0,6.0,Orthodox,167.64,135.0,29.0,31.0
1405,1405,Devin Clark,Alex Nicholson,BobbyWombacher,2016-07-13,"Sioux Falls, South Dakota, USA",Blue,Middleweight,3,1.0,2.0,0.0,Orthodox,193.04,185.0,0.0,0.0,0.0,Orthodox,182.88,205.0,26.0,26.0
1406,1406,Miesha Tate,Amanda Nunes,Herb Dean,2016-07-09,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,5,1.0,10.0,5.0,Orthodox,172.72,145.0,2.0,23.0,5.0,Orthodox,167.64,135.0,28.0,29.0
1407,1407,Brock Lesnar,Mark Hunt,Dan Miragliotta,2016-07-09,"Las Vegas, Nevada, USA",Draw,Heavyweight,3,5.0,29.0,7.0,Orthodox,177.8,265.0,3.0,12.0,4.0,Orthodox,190.5,265.0,42.0,38.0
1408,1408,Daniel Cormier,Anderson Silva,John McCarthy,2016-07-09,"Las Vegas, Nevada, USA",Red,Light Heavyweight,3,4.0,49.0,16.0,Southpaw,187.96,185.0,1.0,23.0,6.0,Orthodox,180.34,235.0,41.0,37.0
1409,1409,Jose Aldo,Frankie Edgar,Marc Goddard,2016-07-09,"Las Vegas, Nevada, USA",Red,Featherweight,5,5.0,69.0,14.0,Orthodox,167.64,145.0,1.0,31.0,7.0,Orthodox,170.18,145.0,34.0,29.0
1410,1410,Cain Velasquez,Travis Browne,John McCarthy,2016-07-09,"Las Vegas, Nevada, USA",Red,Heavyweight,3,4.0,23.0,9.0,Orthodox,198.12,255.0,2.0,27.0,11.0,Orthodox,185.42,240.0,33.0,33.0
1411,1411,Cat Zingano,Julianna Pena,Herb Dean,2016-07-09,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,3,0.0,5.0,3.0,,167.64,135.0,1.0,7.0,2.0,Southpaw,167.64,145.0,26.0,34.0
1412,1412,Johny Hendricks,Kelvin Gastelum,Dan Miragliotta,2016-07-09,"Las Vegas, Nevada, USA",Blue,Welterweight,3,2.0,21.0,6.0,Southpaw,175.26,185.0,4.0,43.0,12.0,Southpaw,175.26,185.0,24.0,32.0
1413,1413,TJ Dillashaw,Raphael Assuncao,Mark Smith,2016-07-09,"Las Vegas, Nevada, USA",Red,Bantamweight,3,1.0,20.0,7.0,Orthodox,165.1,135.0,3.0,33.0,8.0,Orthodox,167.64,125.0,33.0,30.0
1414,1414,Sage Northcutt,Enrique Marin,Marc Goddard,2016-07-09,"Las Vegas, Nevada, USA",Red,Lightweight,3,1.0,3.0,0.0,,177.8,170.0,1.0,5.0,2.0,Orthodox,182.88,170.0,29.0,20.0
1415,1415,Diego Sanchez,Joe Lauzon,Mark Smith,2016-07-09,"Las Vegas, Nevada, USA",Blue,Lightweight,3,8.0,39.0,12.0,Orthodox,177.8,155.0,8.0,64.0,15.0,Southpaw,177.8,170.0,32.0,34.0
1416,1416,Gegard Mousasi,Thiago Santos,Marc Goddard,2016-07-09,"Las Vegas, Nevada, USA",Red,Middleweight,3,2.0,11.0,5.0,Orthodox,187.96,205.0,3.0,21.0,5.0,Orthodox,187.96,185.0,32.0,30.0
1417,1417,Jim Miller,Takanori Gomi,Mark Smith,2016-07-09,"Las Vegas, Nevada, USA",Red,Lightweight,3,6.0,20.0,4.0,Southpaw,170.18,155.0,8.0,52.0,14.0,Southpaw,172.72,155.0,37.0,32.0
1418,1418,Joanna Jedrzejczyk,Claudia Gadelha,John McCarthy,2016-07-08,"Las Vegas, Nevada, USA",Red,Women's Strawweight,5,1.0,9.0,2.0,Orthodox,162.56,115.0,0.0,16.0,5.0,Orthodox,167.64,125.0,27.0,28.0
1419,1419,Andrew Sanchez,Khalil Rountree Jr.,Herb Dean,2016-07-08,"Las Vegas, Nevada, USA",Red,Light Heavyweight,4,0.0,0.0,0.0,Southpaw,185.42,205.0,0.0,0.0,0.0,Orthodox,185.42,185.0,26.0,28.0
1420,1420,Tatiana Suarez,Amanda Cooper,John McCarthy,2016-07-08,"Las Vegas, Nevada, USA",Red,Women's Strawweight,4,0.0,0.0,0.0,Switch,160.02,115.0,0.0,0.0,0.0,,165.1,115.0,24.0,25.0
1421,1421,Ross Pearson,Will Brooks,Dan Miragliotta,2016-07-08,"Las Vegas, Nevada, USA",Blue,Lightweight,3,0.0,0.0,0.0,Orthodox,177.8,155.0,8.0,48.0,11.0,Orthodox,172.72,155.0,29.0,31.0
1422,1422,Dooho Choi,Thiago Tavares,Herb Dean,2016-07-08,"Las Vegas, Nevada, USA",Red,Featherweight,3,7.0,37.0,10.0,Orthodox,170.18,145.0,0.0,2.0,2.0,Orthodox,177.8,145.0,31.0,25.0
1423,1423,Joaquim Silva,Andrew Holbrook,Dan Miragliotta,2016-07-08,"Las Vegas, Nevada, USA",Red,Lightweight,3,0.0,3.0,1.0,Southpaw,180.34,155.0,0.0,3.0,1.0,,172.72,155.0,30.0,27.0
1424,1424,Gray Maynard,Fernando Bruno,Jason Herzog,2016-07-08,"Las Vegas, Nevada, USA",Red,Featherweight,3,1.0,3.0,0.0,,167.64,145.0,7.0,45.0,9.0,Orthodox,175.26,155.0,34.0,37.0
1425,1425,John Moraga,Matheus Nicolau,Chris Tognoni,2016-07-08,"Las Vegas, Nevada, USA",Blue,Flyweight,3,0.0,3.0,1.0,,167.64,125.0,3.0,22.0,5.0,Orthodox,167.64,125.0,23.0,32.0
1426,1426,Cory Hendricks,Josh Stansbury,Dan Miragliotta,2016-07-08,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,3,0.0,0.0,0.0,,187.96,205.0,0.0,0.0,0.0,,190.5,205.0,31.0,28.0
1427,1427,Cezar Ferreira,Anthony Smith,Chris Tognoni,2016-07-08,"Las Vegas, Nevada, USA",Red,Middleweight,3,1.0,4.0,1.0,Orthodox,193.04,205.0,3.0,16.0,5.0,Southpaw,185.42,185.0,27.0,31.0
1428,1428,Jake Matthews,Kevin Lee,Jason Herzog,2016-07-08,"Las Vegas, Nevada, USA",Blue,Lightweight,3,2.0,17.0,5.0,Orthodox,175.26,170.0,1.0,11.0,4.0,Orthodox,180.34,170.0,23.0,21.0
1429,1429,Li Jingliang,Anton Zafir,Chris Tognoni,2016-07-08,"Las Vegas, Nevada, USA",Red,Welterweight,3,1.0,1.0,0.0,Orthodox,180.34,170.0,2.0,10.0,2.0,Orthodox,182.88,170.0,29.0,28.0
1430,1430,Rafael Dos Anjos,Eddie Alvarez,Herb Dean,2016-07-07,"Las Vegas, Nevada, USA",Blue,Lightweight,5,1.0,9.0,2.0,Orthodox,175.26,155.0,5.0,49.0,14.0,Southpaw,172.72,170.0,32.0,31.0
1431,1431,Roy Nelson,Derrick Lewis,John McCarthy,2016-07-07,"Las Vegas, Nevada, USA",Blue,Heavyweight,3,2.0,12.0,6.0,Orthodox,190.5,260.0,8.0,37.0,8.0,Orthodox,182.88,263.0,31.0,40.0
1432,1432,Alan Jouban,Belal Muhammad,Herb Dean,2016-07-07,"Las Vegas, Nevada, USA",Red,Welterweight,3,0.0,0.0,0.0,Orthodox,180.34,170.0,2.0,10.0,4.0,Southpaw,182.88,170.0,27.0,34.0
1433,1433,Joe Duffy,Mitch Clarke,John McCarthy,2016-07-07,"Las Vegas, Nevada, USA",Red,Lightweight,3,3.0,13.0,2.0,Orthodox,177.8,155.0,1.0,5.0,2.0,Orthodox,177.8,155.0,30.0,28.0
1434,1434,Mike Pyle,Alberto Mina,Jason Herzog,2016-07-07,"Las Vegas, Nevada, USA",Blue,Welterweight,3,0.0,4.0,2.0,Orthodox,182.88,170.0,6.0,33.0,10.0,Orthodox,182.88,170.0,34.0,40.0
1435,1435,John Makdessi,Mehdi Baghdad,Mark Smith,2016-07-07,"Las Vegas, Nevada, USA",Red,Lightweight,3,1.0,1.0,0.0,Orthodox,185.42,155.0,5.0,26.0,6.0,Orthodox,172.72,155.0,31.0,31.0
1436,1436,Anthony Birchak,Dileno Lopes,Jason Herzog,2016-07-07,"Las Vegas, Nevada, USA",Red,Bantamweight,3,1.0,3.0,0.0,,165.1,135.0,2.0,3.0,1.0,Orthodox,172.72,135.0,31.0,30.0
1437,1437,Russell Doane,Pedro Munhoz,Mark Smith,2016-07-07,"Las Vegas, Nevada, USA",Blue,Bantamweight,3,3.0,8.0,1.0,Orthodox,167.64,135.0,2.0,11.0,2.0,Orthodox,170.18,135.0,29.0,29.0
1438,1438,Felipe Arantes,Jerrod Sanders,Chris Tognoni,2016-07-07,"Las Vegas, Nevada, USA",Red,Bantamweight,3,2.0,5.0,1.0,Orthodox,172.72,135.0,4.0,20.0,4.0,Orthodox,172.72,135.0,36.0,28.0
1439,1439,Gilbert Burns,Lukasz Sajewski,Jason Herzog,2016-07-07,"Las Vegas, Nevada, USA",Red,Lightweight,3,1.0,3.0,0.0,Orthodox,172.72,155.0,1.0,10.0,3.0,Orthodox,177.8,155.0,25.0,29.0
1440,1440,Marco Beltran,Reginaldo Vieira,Mark Smith,2016-07-07,"Las Vegas, Nevada, USA",Red,Bantamweight,3,0.0,3.0,1.0,,170.18,135.0,0.0,6.0,2.0,Orthodox,172.72,125.0,33.0,30.0
1441,1441,Vicente Luque,Alvaro Herrera,Chris Tognoni,2016-07-07,"Las Vegas, Nevada, USA",Red,Welterweight,3,0.0,1.0,1.0,,182.88,155.0,1.0,4.0,1.0,Orthodox,180.34,170.0,26.0,24.0
1442,1442,Rory MacDonald,Stephen Thompson,John McCarthy,2016-06-18,"Ottawa, Ontario, Canada",Blue,Welterweight,5,1.0,15.0,7.0,Orthodox,182.88,170.0,3.0,33.0,9.0,Orthodox,182.88,170.0,33.0,26.0
1443,1443,Donald Cerrone,Patrick Cote,Yves Lavigne,2016-06-18,"Ottawa, Ontario, Canada",Red,Welterweight,3,9.0,47.0,10.0,Orthodox,180.34,170.0,4.0,40.0,16.0,Orthodox,185.42,155.0,36.0,33.0
1444,1444,Steve Bosse,Sean O'Connell,Herb Dean,2016-06-18,"Ottawa, Ontario, Canada",Red,Light Heavyweight,3,3.0,9.0,2.0,Orthodox,185.42,205.0,1.0,2.0,1.0,Orthodox,180.34,205.0,32.0,34.0
1445,1445,Olivier Aubin-Mercier,Thibault Gouti,Yves Lavigne,2016-06-18,"Ottawa, Ontario, Canada",Red,Lightweight,3,1.0,1.0,0.0,Orthodox,177.8,155.0,2.0,14.0,3.0,Southpaw,175.26,155.0,29.0,27.0
1446,1446,Valerie Letourneau,Joanne Calderwood,Jerin Valel,2016-06-18,"Ottawa, Ontario, Canada",Blue,Women's Flyweight,3,1.0,7.0,2.0,Orthodox,167.64,125.0,1.0,14.0,3.0,Orthodox,170.18,115.0,30.0,33.0
1447,1447,Jason Saggo,Leandro Silva,John McCarthy,2016-06-18,"Ottawa, Ontario, Canada",Red,Lightweight,3,3.0,15.0,3.0,Orthodox,175.26,155.0,1.0,5.0,2.0,Orthodox,180.34,155.0,30.0,30.0
1448,1448,Misha Cirkunov,Ion Cutelaba,Herb Dean,2016-06-18,"Ottawa, Ontario, Canada",Red,Light Heavyweight,3,0.0,0.0,0.0,Southpaw,185.42,205.0,0.0,3.0,2.0,Orthodox,190.5,205.0,22.0,29.0
1449,1449,Tamdan McCrory,Krzysztof Jotko,Yves Lavigne,2016-06-18,"Ottawa, Ontario, Canada",Blue,Middleweight,3,1.0,14.0,4.0,Southpaw,185.42,185.0,3.0,15.0,4.0,Switch,193.04,185.0,26.0,29.0
1450,1450,Chris Beal,Joe Soto,Jerin Valel,2016-06-18,"Ottawa, Ontario, Canada",Blue,Bantamweight,3,3.0,9.0,0.0,Orthodox,167.64,135.0,2.0,11.0,2.0,Orthodox,170.18,125.0,29.0,30.0
1451,1451,Elias Theodorou,Sam Alvey,John McCarthy,2016-06-18,"Ottawa, Ontario, Canada",Red,Middleweight,3,2.0,7.0,3.0,Southpaw,187.96,205.0,1.0,10.0,3.0,Orthodox,185.42,185.0,30.0,28.0
1452,1452,Randa Markos,Jocelyn Jones-Lybarger,Herb Dean,2016-06-18,"Ottawa, Ontario, Canada",Red,Women's Strawweight,3,1.0,3.0,0.0,Orthodox,170.18,115.0,2.0,9.0,1.0,Orthodox,162.56,115.0,30.0,30.0
1453,1453,Colby Covington,Jonathan Meunier,Yves Lavigne,2016-06-18,"Ottawa, Ontario, Canada",Red,Welterweight,3,0.0,0.0,0.0,Switch,190.5,170.0,1.0,8.0,3.0,Orthodox,180.34,170.0,28.0,28.0
1454,1454,Ali Bagautinov,Geane Herrera,Jerin Valel,2016-06-18,"Ottawa, Ontario, Canada",Red,Flyweight,3,1.0,5.0,1.0,Orthodox,165.1,125.0,2.0,17.0,3.0,Orthodox,162.56,125.0,26.0,31.0
1455,1455,Luke Rockhold,Michael Bisping,John McCarthy,2016-06-04,"Los Angeles, California, USA",Blue,Middleweight,5,7.0,69.0,18.0,Orthodox,185.42,185.0,1.0,11.0,5.0,Southpaw,190.5,185.0,37.0,31.0
1456,1456,Dominick Cruz,Urijah Faber,Herb Dean,2016-06-04,"Los Angeles, California, USA",Red,Bantamweight,5,4.0,39.0,9.0,Orthodox,167.64,135.0,0.0,16.0,4.0,Orthodox,172.72,135.0,37.0,31.0
1457,1457,Max Holloway,Ricardo Lamas,John McCarthy,2016-06-04,"Los Angeles, California, USA",Red,Featherweight,3,2.0,21.0,7.0,Orthodox,172.72,145.0,3.0,34.0,11.0,Orthodox,180.34,155.0,34.0,24.0
1458,1458,Dan Henderson,Hector Lombard,Herb Dean,2016-06-04,"Los Angeles, California, USA",Red,Middleweight,3,4.0,17.0,3.0,Southpaw,175.26,185.0,8.0,40.0,8.0,Orthodox,180.34,185.0,38.0,45.0
1459,1459,Dustin Poirier,Bobby Green,Jason Herzog,2016-06-04,"Los Angeles, California, USA",Red,Lightweight,3,1.0,13.0,4.0,Orthodox,177.8,155.0,3.0,29.0,11.0,Southpaw,175.26,155.0,29.0,27.0
1460,1460,Brian Ortega,Clay Guida,Herb Dean,2016-06-04,"Los Angeles, California, USA",Red,Featherweight,3,10.0,59.0,12.0,Orthodox,170.18,155.0,1.0,7.0,2.0,Switch,172.72,145.0,34.0,25.0
1461,1461,Beneil Dariush,James Vick,Mike Beltran,2016-06-04,"Los Angeles, California, USA",Red,Lightweight,3,0.0,11.0,5.0,Orthodox,190.5,155.0,2.0,17.0,6.0,Southpaw,177.8,155.0,29.0,27.0
1462,1462,Jessica Penne,Jessica Andrade,Jason Herzog,2016-06-04,"Los Angeles, California, USA",Blue,Women's Strawweight,3,3.0,15.0,4.0,Orthodox,154.94,115.0,1.0,6.0,1.0,,165.1,115.0,24.0,33.0
1463,1463,Cole Miller,Alex Caceres,John McCarthy,2016-06-04,"Los Angeles, California, USA",Blue,Featherweight,3,7.0,33.0,6.0,Southpaw,177.8,145.0,8.0,39.0,10.0,Orthodox,185.42,145.0,27.0,32.0
1464,1464,Sean Strickland,Tom Breese,Herb Dean,2016-06-04,"Los Angeles, California, USA",Red,Welterweight,3,0.0,5.0,3.0,Southpaw,190.5,185.0,1.0,13.0,4.0,Orthodox,185.42,170.0,24.0,25.0
1465,1465,Jonathan Wilson,Henrique da Silva,Mike Beltran,2016-06-04,"Los Angeles, California, USA",Blue,Light Heavyweight,3,0.0,0.0,0.0,Orthodox,190.5,205.0,0.0,1.0,1.0,Southpaw,187.96,205.0,26.0,28.0
1466,1466,Kevin Casey,Elvis Mutapcic,Jason Herzog,2016-06-04,"Los Angeles, California, USA",Draw,Middleweight,3,1.0,3.0,0.0,Orthodox,182.88,185.0,4.0,10.0,1.0,Southpaw,180.34,185.0,29.0,34.0
1467,1467,Polo Reyes,Dong Hyun Ma,Mike Beltran,2016-06-04,"Los Angeles, California, USA",Red,Lightweight,3,1.0,3.0,0.0,Orthodox,180.34,155.0,0.0,1.0,1.0,,180.34,155.0,27.0,31.0
1468,1468,Thomas Almeida,Cody Garbrandt,John McCarthy,2016-05-29,"Las Vegas, Nevada, USA",Blue,Bantamweight,5,0.0,7.0,3.0,Orthodox,172.72,135.0,0.0,7.0,4.0,Southpaw,170.18,135.0,24.0,24.0
1469,1469,Renan Barao,Jeremy Stephens,Herb Dean,2016-05-29,"Las Vegas, Nevada, USA",Blue,Featherweight,3,11.0,59.0,11.0,Orthodox,172.72,145.0,2.0,31.0,8.0,Orthodox,167.64,135.0,30.0,29.0
1470,1470,Tarec Saffiedine,Rick Story,John McCarthy,2016-05-29,"Las Vegas, Nevada, USA",Blue,Welterweight,3,6.0,46.0,11.0,Southpaw,175.26,170.0,1.0,11.0,2.0,Switch,177.8,170.0,31.0,29.0
1471,1471,Chris Camozzi,Vitor Miranda,Herb Dean,2016-05-29,"Las Vegas, Nevada, USA",Red,Middleweight,3,1.0,8.0,3.0,Orthodox,185.42,185.0,7.0,37.0,8.0,Orthodox,187.96,185.0,37.0,29.0
1472,1472,Jorge Masvidal,Lorenz Larkin,Jason Herzog,2016-05-29,"Las Vegas, Nevada, USA",Blue,Welterweight,3,5.0,19.0,3.0,Orthodox,180.34,170.0,3.0,26.0,6.0,Orthodox,180.34,170.0,29.0,31.0
1473,1473,Joshua Burkman,Paul Felder,Chris Tognoni,2016-05-29,"Las Vegas, Nevada, USA",Blue,Lightweight,3,2.0,14.0,3.0,Orthodox,180.34,155.0,8.0,36.0,6.0,Orthodox,177.8,170.0,32.0,36.0
1474,1474,Sara McMann,Jessica Eye,John McCarthy,2016-05-29,"Las Vegas, Nevada, USA",Red,Women's Bantamweight,3,4.0,14.0,1.0,Orthodox,167.64,125.0,3.0,9.0,2.0,Orthodox,167.64,135.0,29.0,35.0
1475,1475,Abel Trujillo,Jordan Rinaldi,Herb Dean,2016-05-29,"Las Vegas, Nevada, USA",Red,Lightweight,3,0.0,0.0,0.0,Orthodox,177.8,145.0,3.0,15.0,5.0,Orthodox,172.72,155.0,28.0,32.0
1476,1476,Jake Collier,Alberto Uda,Jason Herzog,2016-05-29,"Las Vegas, Nevada, USA",Red,Middleweight,3,0.0,0.0,0.0,Orthodox,190.5,185.0,2.0,6.0,1.0,Orthodox,190.5,205.0,31.0,27.0
1477,1477,Erik Koch,Shane Campbell,Chris Tognoni,2016-05-29,"Las Vegas, Nevada, USA",Red,Lightweight,3,2.0,7.0,1.0,Orthodox,182.88,155.0,3.0,11.0,3.0,Southpaw,177.8,155.0,29.0,27.0
1478,1478,Aljamain Sterling,Bryan Caraway,Jason Herzog,2016-05-29,"Las Vegas, Nevada, USA",Blue,Bantamweight,3,2.0,19.0,5.0,Orthodox,172.72,135.0,0.0,11.0,4.0,Orthodox,170.18,135.0,31.0,26.0
1479,1479,Chris de la Rocha,Adam Milstead,Chris Tognoni,2016-05-29,"Las Vegas, Nevada, USA",Blue,Heavyweight,3,0.0,0.0,0.0,Orthodox,190.5,205.0,1.0,1.0,0.0,Orthodox,190.5,250.0,28.0,37.0
1480,1480,Fabricio Werdum,Stipe Miocic,Dan Miragliotta,2016-05-14,"Curitiba, Parana, Brazil",Blue,Heavyweight,5,2.0,26.0,8.0,Orthodox,193.04,240.0,2.0,23.0,8.0,Orthodox,193.04,231.0,33.0,38.0
1481,1481,Jacare Souza,Vitor Belfort,Osiris Maia,2016-05-14,"Curitiba, Parana, Brazil",Red,Middleweight,3,7.0,31.0,14.0,Southpaw,182.88,185.0,1.0,12.0,5.0,Orthodox,185.42,185.0,39.0,36.0
1482,1482,Cris Cyborg,Leslie Smith,Eduardo Herdy,2016-05-14,"Curitiba, Parana, Brazil",Red,Catch Weight,3,2.0,9.0,2.0,Orthodox,175.26,135.0,0.0,0.0,0.0,Orthodox,172.72,145.0,33.0,30.0
1483,1483,Mauricio Rua,Corey Anderson,Mario Yamasaki,2016-05-14,"Curitiba, Parana, Brazil",Red,Light Heavyweight,3,1.0,16.0,5.0,Orthodox,190.5,205.0,8.0,38.0,7.0,Orthodox,185.42,205.0,26.0,34.0
1484,1484,Warlley Alves,Bryan Barberena,Leon Roberts,2016-05-14,"Curitiba, Parana, Brazil",Blue,Welterweight,3,1.0,8.0,2.0,Southpaw,182.88,170.0,0.0,9.0,4.0,Orthodox,180.34,170.0,27.0,25.0
1485,1485,Demian Maia,Matt Brown,Mario Yamasaki,2016-05-14,"Curitiba, Parana, Brazil",Red,Welterweight,3,7.0,46.0,13.0,Orthodox,182.88,170.0,6.0,58.0,16.0,Southpaw,185.42,170.0,35.0,38.0
1486,1486,Thiago Santos,Nate Marquardt,Kevin MacDonald,2016-05-14,"Curitiba, Parana, Brazil",Red,Middleweight,3,8.0,42.0,12.0,Orthodox,182.88,185.0,2.0,10.0,4.0,Orthodox,187.96,205.0,37.0,32.0
1487,1487,Francisco Trinaldo,Yancy Medeiros,Dan Miragliotta,2016-05-14,"Curitiba, Parana, Brazil",Red,Lightweight,3,4.0,10.0,3.0,Orthodox,177.8,155.0,3.0,28.0,9.0,Southpaw,175.26,155.0,28.0,37.0
1488,1488,John Lineker,Rob Font,Kevin MacDonald,2016-05-14,"Curitiba, Parana, Brazil",Red,Bantamweight,3,0.0,3.0,2.0,Orthodox,172.72,135.0,2.0,20.0,7.0,Orthodox,160.02,135.0,28.0,25.0
1489,1489,Rogerio Nogueira,Patrick Cummins,Leon Roberts,2016-05-14,"Curitiba, Parana, Brazil",Red,Light Heavyweight,3,3.0,15.0,4.0,Orthodox,187.96,205.0,4.0,18.0,4.0,Southpaw,187.96,205.0,35.0,39.0
1490,1490,Sergio Moraes,Luan Chagas,Osiris Maia,2016-05-14,"Curitiba, Parana, Brazil",Draw,Welterweight,3,0.0,0.0,0.0,Orthodox,182.88,170.0,1.0,13.0,4.0,Orthodox,182.88,170.0,22.0,33.0
1491,1491,Renato Moicano,Zubaira Tukhugov,Eduardo Herdy,2016-05-14,"Curitiba, Parana, Brazil",Red,Featherweight,3,0.0,7.0,3.0,Orthodox,172.72,145.0,0.0,2.0,1.0,Orthodox,180.34,145.0,25.0,26.0
1492,1492,Alistair Overeem,Andrei Arlovski,Marc Goddard,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Red,Heavyweight,5,5.0,35.0,14.0,Orthodox,190.5,240.0,3.0,15.0,5.0,Orthodox,193.04,265.0,37.0,35.0
1493,1493,Antonio Silva,Stefan Struve,Leon Roberts,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Blue,Heavyweight,3,6.0,29.0,10.0,Orthodox,210.82,265.0,6.0,16.0,3.0,Orthodox,193.04,264.0,28.0,36.0
1494,1494,Albert Tumenov,Gunnar Nelson,Marc Goddard,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Blue,Welterweight,3,2.0,16.0,5.0,Switch,180.34,170.0,1.0,12.0,5.0,Orthodox,180.34,170.0,27.0,24.0
1495,1495,Germaine de Randamie,Anna Elmose,Rich Mitchell,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Red,Women's Bantamweight,3,0.0,0.0,0.0,Orthodox,160.02,115.0,1.0,6.0,2.0,Orthodox,175.26,135.0,31.0,32.0
1496,1496,Nikita Krylov,Francimar Barroso,Lukasz Bosacki,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Red,Light Heavyweight,3,1.0,12.0,3.0,Orthodox,185.42,205.0,2.0,8.0,4.0,Orthodox,190.5,205.0,36.0,24.0
