,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
1371,Tecia Torres,154.94,Jocelyn Jones-Lybarger,170.18,15.24,Tecia Torres,alto
1372,Court McGee,180.34,Marcio Alexandre Junior,182.88,2.54,Court McGee,alto
1373,Tatsuya Kawajiri,170.18,Jason Knight,177.8,7.62,Tatsuya Kawajiri,alto
1374,Chris Gruetzemacher,172.72,Abner Lloveras,180.34,7.62,Chris Gruetzemacher,alto
1375,Zubaira Tukhugov,172.72,Phillipe Nover,175.26,2.54,Zubaira Tukhugov,alto
1376,Benson Henderson,175.26,Jorge Masvidal,180.34,5.08,Benson Henderson,alto
1377,Dongi Yang,177.8,Jake Collier,190.5,12.7,Dongi Yang,alto
1378,Tae Hyun Bang,175.26,Leo Kuntz,177.8,2.54,Tae Hyun Bang,alto
1379,Seohee Ham,157.48,Cortney Casey,170.18,12.7,Seohee Ham,alto
1380,Dominique Steele,177.8,Dong Hyun Ma,180.34,2.54,Dominique Steele,alto
1381,Ricardo Lamas,172.72,Diego Sanchez,177.8,5.08,Ricardo Lamas,alto
1382,Joanna Jedrzejczyk,167.64,Valerie Letourneau,170.18,2.54,Joanna Jedrzejczyk,alto
1383,Mark Hunt,177.8,Antonio Silva,193.04,15.24,Mark Hunt,alto
1384,Daniel Kelly,182.88,Steve Montgomery,193.04,10.16,Daniel Kelly,alto
1385,James Moontasri,177.8,Anton Zafir,180.34,2.54,James Moontasri,alto
1386,Thomas Almeida,170.18,Anthony Birchak,172.72,2.54,Thomas Almeida,alto
1387,Neil Seery,162.56,Jon Delos Reyes,167.64,5.08,Neil Seery,alto
1388,Stevie Ray,177.8,Mickael Lebout,180.34,2.54,Stevie Ray,alto
1389,Aisling Daly,157.48,Ericka Almeida,167.64,10.16,Aisling Daly,alto
1390,Daniel Cormier,180.34,Alexander Gustafsson,195.58,15.24,Daniel Cormier,alto
1391,Yair Rodriguez,180.34,Dan Hooker,182.88,2.54,Yair Rodriguez,alto
1392,Kyoji Horiguchi,165.1,Chico Camus,167.64,2.54,Kyoji Horiguchi,alto
1393,Takeya Mizugaki,170.18,George Roop,185.42,15.24,Takeya Mizugaki,alto
1394,Keita Nakamura,180.34,Li Jingliang,182.88,2.54,Keita Nakamura,alto
1395,Nick Hein,167.64,Yusuke Kasuya,170.18,2.54,Nick Hein,alto
1396,Shinsho Anzai,170.18,Roger Zapata,180.34,10.16,Shinsho Anzai,alto
1397,Ross Pearson,172.72,Paul Felder,180.34,7.62,Ross Pearson,alto
1398,Joe Riggs,182.88,Ron Stallings,187.96,5.08,Joe Riggs,alto
1399,Olivier Aubin-Mercier,175.26,Tony Sims,180.34,5.08,Olivier Aubin-Mercier,alto
1400,Glover Teixeira,187.96,Ovince Saint Preux,190.5,2.54,Glover Teixeira,alto
1401,Derek Brunson,185.42,Sam Alvey,187.96,2.54,Derek Brunson,alto
1402,Jared Rosholt,187.96,Tim Johnson,190.5,2.54,Jared Rosholt,alto
1403,Ray Borg,162.56,Geane Herrera,165.1,2.54,Ray Borg,alto
1404,Dustin Ortiz,165.1,Willie Gates,172.72,7.62,Dustin Ortiz,alto
1405,Mauricio Rua,185.42,Rogerio Nogueira,187.96,2.54,Mauricio Rua,alto
1406,Demian Maia,185.42,Neil Magny,190.5,5.08,Demian Maia,alto
1407,Warlley Alves,180.34,Nordine Taleb,185.42,5.08,Warlley Alves,alto
