,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
2405,Igor Araujo,185.42,George Sullivan,182.88,-2.54,George Sullivan,bajo
2406,Paulo Thiago,180.34,Sean Spencer,177.8,-2.54,Sean Spencer,bajo
2407,Ramsey Nijem,180.34,Diego Ferreira,175.26,-5.08,Diego Ferreira,bajo
2408,Benson Henderson,175.26,Rafael Dos Anjos,172.72,-2.54,Rafael Dos Anjos,bajo
2409,Francis Carmont,190.5,Thales Leites,185.42,-5.08,Thales Leites,bajo
2410,An Ying Wang,182.88,Colby Covington,180.34,-2.54,Colby Covington,bajo
2411,Elizabeth Phillips,167.64,Milana Dudieva,160.02,-7.62,Milana Dudieva,bajo
2412,Gray Maynard,175.26,Ross Pearson,172.72,-2.54,Ross Pearson,bajo
2413,Seth Baczynski,190.5,Alan Jouban,182.88,-7.62,Alan Jouban,bajo
2414,Clay Guida,170.18,Dennis Bermudez,167.64,-2.54,Dennis Bermudez,bajo
2415,Kyle Kingsbury,193.04,Patrick Cummins,187.96,-5.08,Patrick Cummins,bajo
2416,Akbarh Arreola,177.8,Tiago Trator,175.26,-2.54,Tiago Trator,bajo
2417,Andreas Stahl,180.34,Gilbert Burns,177.8,-2.54,Gilbert Burns,bajo
2418,Steven Siler,180.34,Noad Lahat,175.26,-5.08,Noad Lahat,bajo
2419,Brad Pickett,167.64,Ian McCall,165.1,-2.54,Ian McCall,bajo
2420,Jessamyn Duke,180.34,Leslie Smith,175.26,-5.08,Leslie Smith,bajo
2421,Dhiego Lima,187.96,Eddie Gordon,182.88,-5.08,Eddie Gordon,bajo
2422,Justin Scoggins,170.18,Dustin Ortiz,165.1,-5.08,Dustin Ortiz,bajo
2423,Jesse Ronson,177.8,Kevin Lee,175.26,-2.54,Kevin Lee,bajo
2424,Chris Camozzi,187.96,Bruno Santos,175.26,-12.7,Bruno Santos,bajo
2425,George Roop,185.42,Rob Font,172.72,-12.7,Rob Font,bajo
2426,Colton Smith,182.88,Diego Ferreira,175.26,-7.62,Diego Ferreira,bajo
2427,James Te Huna,187.96,Nate Marquardt,182.88,-5.08,Nate Marquardt,bajo
2428,Soa Palelei,193.04,Jared Rosholt,187.96,-5.08,Jared Rosholt,bajo
2429,Hatsu Hioki,180.34,Charles Oliveira,177.8,-2.54,Charles Oliveira,bajo
2430,Kajan Johnson,180.34,Tae Hyun Bang,175.26,-5.08,Tae Hyun Bang,bajo
2431,Roland Delorme,175.26,Michinori Tanaka,165.1,-10.16,Michinori Tanaka,bajo
2432,Yaotzin Meza,175.26,Sergio Pettis,167.64,-7.62,Sergio Pettis,bajo
2433,Bobby Voelker,182.88,Lance Benoist,180.34,-2.54,Lance Benoist,bajo
2434,Marcio Alexandre Junior,182.88,Warlley Alves,180.34,-2.54,Warlley Alves,bajo
2435,Francis Carmont,190.5,CB Dollaway,187.96,-2.54,CB Dollaway,bajo
2436,Luke Barnatt,198.12,Sean Strickland,185.42,-12.7,Sean Strickland,bajo
2437,Anthony Njokuani,185.42,Vinc Pichel,177.8,-7.62,Vinc Pichel,bajo
2438,Erik Koch,177.8,Daron Cruickshank,172.72,-5.08,Daron Cruickshank,bajo
2439,Jessamyn Duke,180.34,Bethe Correia,165.1,-15.24,Bethe Correia,bajo
2440,Brad Tavares,185.42,Yoel Romero,182.88,-2.54,Yoel Romero,bajo
2441,Michael Bisping,185.42,Tim Kennedy,180.34,-5.08,Tim Kennedy,bajo
2442,Minotauro Nogueira,190.5,Roy Nelson,182.88,-7.62,Roy Nelson,bajo
2443,Alan Omer,177.8,Jim Alers,175.26,-2.54,Jim Alers,bajo
2444,Mauricio Rua,185.42,Dan Henderson,180.34,-5.08,Dan Henderson,bajo
2445,Carlos Condit,187.96,Tyron Woodley,175.26,-12.7,Tyron Woodley,bajo
2446,Jake Shields,182.88,Hector Lombard,175.26,-7.62,Hector Lombard,bajo
2447,Raquel Pennington,170.18,Jessica Andrade,154.94,-15.24,Jessica Andrade,bajo
2448,Sean Spencer,177.8,Alex Garcia,175.26,-2.54,Alex Garcia,bajo
2449,Will Campuzano,175.26,Justin Scoggins,170.18,-5.08,Justin Scoggins,bajo
2450,Bubba McDaniel,190.5,Sean Strickland,185.42,-5.08,Sean Strickland,bajo
2451,Cyrille Diabate,198.12,Ilir Latifi,177.8,-20.32,Ilir Latifi,bajo
2452,Bradley Scott,185.42,Claudio Silva,180.34,-5.08,Claudio Silva,bajo
2453,Sai Wang,182.88,Zhang Lipeng,180.34,-2.54,Zhang Lipeng,bajo
2454,Kazuki Tokudome,180.34,Yui Chul Nam,175.26,-5.08,Yui Chul Nam,bajo
2455,Cody Gibson,177.8,Aljamain Sterling,170.18,-7.62,Aljamain Sterling,bajo
2456,Anthony Rocco Martin,182.88,Rashid Magomedov,175.26,-7.62,Rashid Magomedov,bajo
2457,Darren Elkins,177.8,Jeremy Stephens,172.72,-5.08,Jeremy Stephens,bajo
2458,Junior Hernandez,175.26,Hugo Viana,167.64,-7.62,Hugo Viana,bajo
2459,Walt Harris,195.58,Nikita Krylov,190.5,-5.08,Nikita Krylov,bajo
2460,Scott Jorgensen,165.1,Zach Makovsky,162.56,-2.54,Zach Makovsky,bajo
2461,Darren Uyenoyama,167.64,Alptekin Ozkilic,165.1,-2.54,Alptekin Ozkilic,bajo
2462,Ben Wall,177.8,Alex Garcia,175.26,-2.54,Alex Garcia,bajo
2463,Rory MacDonald,182.88,Robbie Lawler,180.34,-2.54,Robbie Lawler,bajo
2464,Josh Koscheck,177.8,Tyron Woodley,175.26,-2.54,Tyron Woodley,bajo
2465,Tim Elliott,170.18,Ali Bagautinov,162.56,-7.62,Ali Bagautinov,bajo
2466,Brian Ebersole,182.88,Rick Story,175.26,-7.62,Rick Story,bajo
2467,Will Campuzano,175.26,Sergio Pettis,167.64,-7.62,Sergio Pettis,bajo
2468,Ronny Markes,185.42,Yoel Romero,182.88,-2.54,Yoel Romero,bajo
2469,Jorge Masvidal,180.34,Rustam Khabilov,172.72,-7.62,Rustam Khabilov,bajo
2470,George Roop,185.42,Francisco Rivera,172.72,-12.7,Francisco Rivera,bajo
2471,Chris Camozzi,187.96,Lorenz Larkin,180.34,-7.62,Lorenz Larkin,bajo
2472,Phil Harris,162.56,John Lineker,160.02,-2.54,John Lineker,bajo
2473,Rosi Sexton,160.02,Jessica Andrade,154.94,-5.08,Jessica Andrade,bajo
2474,Nate Marquardt,182.88,Hector Lombard,175.26,-7.62,Hector Lombard,bajo
2475,Dustin Pague,175.26,Kyoji Horiguchi,165.1,-10.16,Kyoji Horiguchi,bajo
2476,Demian Maia,185.42,Jake Shields,182.88,-2.54,Jake Shields,bajo
2477,Ildemar Alcantara,187.96,Igor Araujo,185.42,-2.54,Igor Araujo,bajo
2478,Iliarde Santos,165.1,Chris Cariaso,160.02,-5.08,Chris Cariaso,bajo
2479,Pat Healy,182.88,Khabib Nurmagomedov,177.8,-5.08,Khabib Nurmagomedov,bajo
2480,Mike Ricci,182.88,Myles Jury,177.8,-5.08,Myles Jury,bajo
2481,Ivan Menjivar,167.64,Wilson Reis,162.56,-5.08,Wilson Reis,bajo
2482,Nandor Guelmino,190.5,Daniel Omielanczuk,182.88,-7.62,Daniel Omielanczuk,bajo
2483,Yushin Okami,187.96,Jacare Souza,185.42,-2.54,Jacare Souza,bajo
2484,Marcos Vinicius,175.26,Ali Bagautinov,162.56,-12.7,Ali Bagautinov,bajo
2485,Keith Wisniewski,182.88,Ivan Jorge,175.26,-7.62,Ivan Jorge,bajo
2486,Yuri Villefort,182.88,Sean Spencer,177.8,-5.08,Sean Spencer,bajo
2487,Erik Koch,177.8,Dustin Poirier,175.26,-2.54,Dustin Poirier,bajo
2488,Donald Cerrone,185.42,Rafael Dos Anjos,172.72,-12.7,Rafael Dos Anjos,bajo
2489,James Head,185.42,Jason High,172.72,-12.7,Jason High,bajo
2490,Uriah Hall,182.88,John Howard,170.18,-12.7,John Howard,bajo
2491,Ednaldo Oliveira,195.58,Francimar Barroso,185.42,-10.16,Francimar Barroso,bajo
2492,Michael Chiesa,185.42,Jorge Masvidal,180.34,-5.08,Jorge Masvidal,bajo
2493,Yves Edwards,175.26,Daron Cruickshank,172.72,-2.54,Daron Cruickshank,bajo
2494,Seth Baczynski,190.5,Brian Melancon,172.72,-17.78,Brian Melancon,bajo
2495,Frank Mir,190.5,Daniel Cormier,180.34,-10.16,Daniel Cormier,bajo
2496,Nate Diaz,182.88,Josh Thomson,177.8,-5.08,Josh Thomson,bajo
2497,Ramsey Nijem,180.34,Myles Jury,177.8,-2.54,Myles Jury,bajo
2498,Tim Means,187.96,Jorge Masvidal,180.34,-7.62,Jorge Masvidal,bajo
2499,Uriah Hall,182.88,Kelvin Gastelum,175.26,-7.62,Kelvin Gastelum,bajo
2500,Justin Lawrence,172.72,Daniel Pineda,170.18,-2.54,Daniel Pineda,bajo
2501,Ryan Couture,177.8,Ross Pearson,172.72,-5.08,Ross Pearson,bajo
2502,Carlos Condit,187.96,Johny Hendricks,175.26,-12.7,Johny Hendricks,bajo
2503,Dan Miller,185.42,Jordan Mein,182.88,-2.54,Jordan Mein,bajo
2504,Stefan Struve,210.82,Mark Hunt,177.8,-33.02,Mark Hunt,bajo
2505,Mizuto Hirota,170.18,Rani Yahya,167.64,-2.54,Rani Yahya,bajo
2506,Terry Etim,185.42,Renee Forte,170.18,-15.24,Renee Forte,bajo
2507,Paul Sass,182.88,Danny Castillo,175.26,-7.62,Danny Castillo,bajo
2508,Yves Edwards,175.26,Isaac Vallie-Flagg,172.72,-2.54,Isaac Vallie-Flagg,bajo
2509,Erik Koch,177.8,Ricardo Lamas,172.72,-5.08,Ricardo Lamas,bajo
2510,Mike Russow,185.42,Shawn Jordan,182.88,-2.54,Shawn Jordan,bajo
2511,Simeon Thoresen,185.42,David Mitchell,182.88,-2.54,David Mitchell,bajo
2512,Junior Dos Santos,193.04,Cain Velasquez,185.42,-7.62,Cain Velasquez,bajo
2513,Tim Boetsch,182.88,Costas Philippou,180.34,-2.54,Costas Philippou,bajo
2514,Melvin Guillard,175.26,Jamie Varner,172.72,-2.54,Jamie Varner,bajo
2515,Philip De Fries,195.58,Todd Duffee,190.5,-5.08,Todd Duffee,bajo
2516,Vinc Pichel,177.8,Rustam Khabilov,172.72,-5.08,Rustam Khabilov,bajo
2517,Reuben Duran,170.18,Hugo Viana,167.64,-2.54,Hugo Viana,bajo
2518,Jared Papazian,172.72,Tim Elliott,170.18,-2.54,Tim Elliott,bajo
2519,George Sotiropoulos,177.8,Ross Pearson,172.72,-5.08,Ross Pearson,bajo
2520,Colin Fletcher,187.96,Norman Parke,180.34,-7.62,Norman Parke,bajo
2521,Brendan Loughnane,177.8,Mike Wilkinson,170.18,-7.62,Mike Wilkinson,bajo
2522,Nick Penner,193.04,Cody Donovan,190.5,-2.54,Cody Donovan,bajo
2523,Mike Swick,185.42,Matt Brown,182.88,-2.54,Matt Brown,bajo
2524,Marcus LeVesseur,175.26,Abel Trujillo,172.72,-2.54,Abel Trujillo,bajo
2525,Sam Stout,175.26,John Makdessi,172.72,-2.54,John Makdessi,bajo
2526,Steven Siler,180.34,Darren Elkins,177.8,-2.54,Darren Elkins,bajo
2527,Rich Franklin,185.42,Cung Le,175.26,-10.16,Cung Le,bajo
2528,Yasuhiro Urushitani,165.1,John Lineker,160.02,-5.08,John Lineker,bajo
2529,Travis Browne,198.12,Antonio Silva,193.04,-5.08,Antonio Silva,bajo
2530,Josh Neer,180.34,Justin Edwards,177.8,-2.54,Justin Edwards,bajo
2531,Aaron Simpson,182.88,Mike Pierce,172.72,-10.16,Mike Pierce,bajo
2532,Bart Palaszewski,175.26,Diego Nunes,167.64,-7.62,Diego Nunes,bajo
2533,Paul Sass,182.88,Matt Wiman,177.8,-5.08,Matt Wiman,bajo
2534,Kyle Kingsbury,193.04,Jimi Manuwa,185.42,-7.62,Jimi Manuwa,bajo
2535,DaMarques Johnson,185.42,Gunnar Nelson,180.34,-5.08,Gunnar Nelson,bajo
2536,Jason Young,175.26,Robert Peralta,172.72,-2.54,Robert Peralta,bajo
2537,Joseph Benavidez,162.56,Demetrious Johnson,160.02,-2.54,Demetrious Johnson,bajo
2538,Jimy Hettes,175.26,Marcus Brimage,162.56,-12.7,Marcus Brimage,bajo
2539,Jared Hamman,190.5,Michael Kuiper,182.88,-7.62,Michael Kuiper,bajo
2540,Dustin Pague,175.26,Chico Camus,167.64,-7.62,Chico Camus,bajo
2541,Cole Miller,185.42,Nam Phan,167.64,-17.78,Nam Phan,bajo
2542,Josh Grispi,180.34,Rani Yahya,167.64,-12.7,Rani Yahya,bajo
2543,Anthony Perosh,190.5,Ryan Jimmo,185.42,-5.08,Ryan Jimmo,bajo
2544,Mitch Clarke,177.8,Anton Kuivanen,172.72,-5.08,Anton Kuivanen,bajo
2545,Dong Hyun Kim,187.96,Demian Maia,185.42,-2.54,Demian Maia,bajo
2546,Iuri Alcantara,175.26,Hacran Dias,172.72,-2.54,Hacran Dias,bajo
2547,Delson Heleno,180.34,Francisco Trinaldo,175.26,-5.08,Francisco Trinaldo,bajo
2548,John Teixeira,170.18,Hugo Viana,167.64,-2.54,Hugo Viana,bajo
2549,Hatsu Hioki,180.34,Ricardo Lamas,172.72,-7.62,Ricardo Lamas,bajo
2550,Leonard Garcia,177.8,Matt Grice,172.72,-5.08,Matt Grice,bajo
2551,Jonathan Brookins,182.88,Charles Oliveira,177.8,-5.08,Charles Oliveira,bajo
2552,Cristiano Marcello,175.26,Sam Sicilia,172.72,-2.54,Sam Sicilia,bajo
2553,Edson Barboza,180.34,Jamie Varner,172.72,-7.62,Jamie Varner,bajo
2554,Kyle Kingsbury,193.04,Glover Teixeira,187.96,-5.08,Glover Teixeira,bajo
2555,Jason MacDonald,190.5,Tom Lawlor,182.88,-7.62,Tom Lawlor,bajo
2556,Josh Koscheck,177.8,Johny Hendricks,175.26,-2.54,Johny Hendricks,bajo
2557,Tony Ferguson,180.34,Michael Johnson,177.8,-2.54,Michael Johnson,bajo
2558,Mike Massenzio,187.96,Karlos Vemola,182.88,-5.08,Karlos Vemola,bajo
2559,Mark Hominick,172.72,Eddie Yagin,170.18,-2.54,Eddie Yagin,bajo
2560,Keith Wisniewski,182.88,Chris Clements,177.8,-5.08,Chris Clements,bajo
2561,DaMarques Johnson,185.42,John Maguire,175.26,-10.16,John Maguire,bajo
2562,Cole Miller,185.42,Steven Siler,180.34,-5.08,Steven Siler,bajo
2563,Mackens Semerzier,175.26,Daniel Pineda,170.18,-5.08,Daniel Pineda,bajo
2564,Oli Thompson,185.42,Shawn Jordan,182.88,-2.54,Shawn Jordan,bajo
2565,Yushin Okami,187.96,Tim Boetsch,182.88,-5.08,Tim Boetsch,bajo
2566,Takeya Mizugaki,170.18,Chris Cariaso,160.02,-10.16,Chris Cariaso,bajo
2567,Tiequan Zhang,172.72,Issei Tamura,165.1,-7.62,Issei Tamura,bajo
2568,Diego Sanchez,177.8,Jake Ellenberger,175.26,-2.54,Jake Ellenberger,bajo
2569,Alex Caceres,177.8,Edwin Figueroa,170.18,-7.62,Edwin Figueroa,bajo
2570,Dan Stittgen,185.42,Stephen Thompson,182.88,-2.54,Stephen Thompson,bajo
2571,Melvin Guillard,175.26,Jim Miller,172.72,-2.54,Jim Miller,bajo
2572,Erick Silva,182.88,Carlo Prater,180.34,-2.54,Carlo Prater,bajo
2573,Jon Fitch,182.88,Johny Hendricks,175.26,-7.62,Johny Hendricks,bajo
2574,Anthony Njokuani,185.42,Danny Castillo,175.26,-10.16,Danny Castillo,bajo
2575,Tito Ortiz,190.5,Rogerio Nogueira,187.96,-2.54,Rogerio Nogueira,bajo
2576,Mark Hominick,172.72,Chan Sung Jung,170.18,-2.54,Chan Sung Jung,bajo
2577,Krzysztof Soszynski,185.42,Igor Pokrajac,182.88,-2.54,Igor Pokrajac,bajo
2578,Jared Hamman,190.5,Costas Philippou,180.34,-10.16,Costas Philippou,bajo
2579,Walel Watson,180.34,Yves Jabouin,170.18,-10.16,Yves Jabouin,bajo
2580,TJ Dillashaw,167.64,John Dodson,160.02,-7.62,John Dodson,bajo
2581,Dustin Pague,175.26,John Albert,172.72,-2.54,John Albert,bajo
2582,Mauricio Rua,185.42,Dan Henderson,180.34,-5.08,Dan Henderson,bajo
2583,Cyrille Diabate,198.12,Anthony Perosh,190.5,-7.62,Anthony Perosh,bajo
2584,Mirko Cro Cop,187.96,Roy Nelson,182.88,-5.08,Roy Nelson,bajo
2585,Dustin Jacoby,193.04,Clifford Starks,182.88,-10.16,Clifford Starks,bajo
2586,Leonard Garcia,177.8,Nam Phan,167.64,-10.16,Nam Phan,bajo
2587,Ben Rothwell,193.04,Mark Hunt,177.8,-15.24,Mark Hunt,bajo
2588,Jake Shields,182.88,Jake Ellenberger,175.26,-7.62,Jake Ellenberger,bajo
2589,Jonathan Brookins,182.88,Erik Koch,177.8,-5.08,Erik Koch,bajo
2590,Cody McKenzie,182.88,Vagner Rocha,177.8,-5.08,Vagner Rocha,bajo
2591,Matthew Riddle,185.42,Lance Benoist,180.34,-5.08,Lance Benoist,bajo
2592,Luiz Cane,187.96,Stanislav Nedkov,180.34,-7.62,Stanislav Nedkov,bajo
2593,Dan Hardy,182.88,Chris Lytle,180.34,-2.54,Chris Lytle,bajo
2594,Jorge Rivera,185.42,Costas Philippou,180.34,-5.08,Costas Philippou,bajo
2595,George Sotiropoulos,177.8,Rafael Dos Anjos,172.72,-5.08,Rafael Dos Anjos,bajo
2596,Brad Tavares,185.42,Aaron Simpson,182.88,-2.54,Aaron Simpson,bajo
2597,Christian Morecraft,198.12,Matt Mitrione,190.5,-7.62,Matt Mitrione,bajo
2598,Mike Massenzio,187.96,Krzysztof Soszynski,185.42,-2.54,Krzysztof Soszynski,bajo
2599,Chuck O'Neil,187.96,Chris Cope,182.88,-5.08,Chris Cope,bajo
2600,Danny Downes,182.88,Jeremy Stephens,172.72,-10.16,Jeremy Stephens,bajo
2601,Ryan McGillivray,180.34,Shamar Bailey,175.26,-5.08,Shamar Bailey,bajo
2602,Stefan Struve,210.82,Travis Browne,198.12,-12.7,Travis Browne,bajo
2603,Miguel Torres,175.26,Demetrious Johnson,160.02,-15.24,Demetrious Johnson,bajo
2604,Kendall Grove,198.12,Tim Boetsch,182.88,-15.24,Tim Boetsch,bajo
2605,Cole Escovedo,170.18,Renan Barao,167.64,-2.54,Renan Barao,bajo
2606,DaMarques Johnson,185.42,Amir Sadollah,177.8,-7.62,Amir Sadollah,bajo
2607,Alex Caceres,177.8,Mackens Semerzier,175.26,-2.54,Mackens Semerzier,bajo
2608,Sean McCorkle,200.66,Christian Morecraft,198.12,-2.54,Christian Morecraft,bajo
2609,Mario Miranda,190.5,Aaron Simpson,182.88,-7.62,Aaron Simpson,bajo
2610,Dan Miller,185.42,Nate Marquardt,182.88,-2.54,Nate Marquardt,bajo
2611,CB Dollaway,187.96,Mark Munoz,182.88,-5.08,Mark Munoz,bajo
2612,David Branch,185.42,Rousimar Palhares,172.72,-12.7,Rousimar Palhares,bajo
2613,George Sotiropoulos,177.8,Dennis Siver,167.64,-10.16,Dennis Siver,bajo
2614,Chris Camozzi,187.96,Kyle Noke,185.42,-2.54,Kyle Noke,bajo
2615,Norifumi Yamamoto,162.56,Demetrious Johnson,160.02,-2.54,Demetrious Johnson,bajo
2616,Cole Miller,185.42,Matt Wiman,177.8,-7.62,Matt Wiman,bajo
2617,Cody McKenzie,182.88,Yves Edwards,175.26,-7.62,Yves Edwards,bajo
2618,Will Campuzano,175.26,Chris Cariaso,160.02,-15.24,Chris Cariaso,bajo
2619,Matthew Riddle,185.42,Sean Pierson,182.88,-2.54,Sean Pierson,bajo
2620,Pat Audinwood,182.88,John Makdessi,172.72,-10.16,John Makdessi,bajo
2621,Kendall Grove,198.12,Demian Maia,185.42,-12.7,Demian Maia,bajo
2622,Will Campuzano,175.26,Nick Pace,170.18,-5.08,Nick Pace,bajo
2623,Matt Brown,182.88,Brian Foster,175.26,-7.62,Brian Foster,bajo
2624,Karo Parisyan,177.8,Dennis Hallman,175.26,-2.54,Dennis Hallman,bajo
2625,Kris McCray,182.88,Carlos Eduardo Rocha,177.8,-5.08,Carlos Eduardo Rocha,bajo
2626,Brock Lesnar,190.5,Cain Velasquez,185.42,-5.08,Cain Velasquez,bajo
2627,Tito Ortiz,190.5,Matt Hamill,185.42,-5.08,Matt Hamill,bajo
2628,Mike Guymon,182.88,Daniel Roberts,177.8,-5.08,Daniel Roberts,bajo
2629,John Hathaway,185.42,Mike Pyle,182.88,-2.54,Mike Pyle,bajo
2630,James Wilks,185.42,Claude Patrick,180.34,-5.08,Claude Patrick,bajo
2631,Cyrille Diabate,198.12,Alexander Gustafsson,195.58,-2.54,Alexander Gustafsson,bajo
2632,James McSweeney,193.04,Fabio Maldonado,185.42,-7.62,Fabio Maldonado,bajo
2633,Steve Lopez,180.34,Waylon Lowe,170.18,-10.16,Waylon Lowe,bajo
2634,Kenny Florian,177.8,Gray Maynard,175.26,-2.54,Gray Maynard,bajo
2635,Andre Winner,180.34,Nik Lentz,172.72,-7.62,Nik Lentz,bajo
2636,Nick Osipczak,187.96,Greg Soto,180.34,-7.62,Greg Soto,bajo
2637,Dustin Hazelett,185.42,Rick Story,175.26,-10.16,Rick Story,bajo
2638,Ben Saunders,187.96,Dennis Hallman,175.26,-12.7,Dennis Hallman,bajo
2639,James Irvin,187.96,Igor Pokrajac,182.88,-5.08,Igor Pokrajac,bajo
2640,Keith Jardine,187.96,Matt Hamill,185.42,-2.54,Matt Hamill,bajo
2641,Spencer Fisher,170.18,Dennis Siver,167.64,-2.54,Dennis Siver,bajo
2642,Jamie Yager,185.42,Rich Attonito,177.8,-7.62,Rich Attonito,bajo
2643,Chuck Liddell,187.96,Rich Franklin,185.42,-2.54,Rich Franklin,bajo
2644,Rampage Jackson,185.42,Rashad Evans,182.88,-2.54,Rashad Evans,bajo
2645,Todd Duffee,190.5,Mike Russow,185.42,-5.08,Mike Russow,bajo
2646,Jesse Forbes,187.96,Ryan Jensen,185.42,-2.54,Ryan Jensen,bajo
2647,Sam Stout,175.26,Jeremy Stephens,172.72,-2.54,Jeremy Stephens,bajo
2648,TJ Grant,177.8,Johny Hendricks,175.26,-2.54,Johny Hendricks,bajo
2649,Jason MacDonald,190.5,John Salter,185.42,-5.08,John Salter,bajo
2650,BJ Penn,175.26,Frankie Edgar,167.64,-7.62,Frankie Edgar,bajo
2651,Terry Etim,185.42,Rafael Dos Anjos,172.72,-12.7,Rafael Dos Anjos,bajo
2652,Kendall Grove,198.12,Mark Munoz,182.88,-15.24,Mark Munoz,bajo
2653,Alexander Gustafsson,195.58,Phil Davis,187.96,-7.62,Phil Davis,bajo
2654,Nick Osipczak,187.96,Rick Story,175.26,-12.7,Rick Story,bajo
2655,Rob Emerson,175.26,Nik Lentz,172.72,-2.54,Nik Lentz,bajo
2656,Frank Mir,190.5,Shane Carwin,187.96,-2.54,Shane Carwin,bajo
2657,Ben Saunders,187.96,Jon Fitch,182.88,-5.08,Jon Fitch,bajo
2658,Eliot Marshall,187.96,Vladimir Matyushenko,182.88,-5.08,Vladimir Matyushenko,bajo
2659,Eric Schafer,190.5,Jason Brilz,180.34,-10.16,Jason Brilz,bajo
2660,Cory Sandhagen,180.34,Frankie Edgar,167.64,-12.7,Cory Sandhagen,bajo
2661,SeungWoo Choi,182.88,Youssef Zalal,177.8,-5.08,SeungWoo Choi,bajo
2662,Marina Rodriguez,167.64,Amanda Ribas,160.02,-7.62,Marina Rodriguez,bajo
2663,Amir Albazi,165.1,Zhalgas Zhumagulov,162.56,-2.54,Amir Albazi,bajo
2664,Matt Schnell,172.72,Tyson Nam,170.18,-2.54,Matt Schnell,bajo
2665,Lerone Murphy,175.26,Douglas Silva de Andrade,170.18,-5.08,Lerone Murphy,bajo
2666,Su Mudaerji,172.72,Zarrukh Adashev,165.1,-7.62,Su Mudaerji,bajo
2667,Umar Nurmagomedov,172.72,Sergey Morozov,167.64,-5.08,Umar Nurmagomedov,bajo
2668,Carlos Condit,187.96,Matt Brown,182.88,-5.08,Carlos Condit,bajo
2669,Stephen Thompson,182.88,Geoff Neal,180.34,-2.54,Stephen Thompson,bajo
2670,Michel Pereira,185.42,Khaos Williams,182.88,-2.54,Michel Pereira,bajo
2671,Mackenzie Dern,162.56,Virna Jandiroba,160.02,-2.54,Mackenzie Dern,bajo
2672,Kevin Holland,190.5,Jacare Souza,185.42,-5.08,Kevin Holland,bajo
2673,Cub Swanson,172.72,Daniel Pineda,170.18,-2.54,Cub Swanson,bajo
2674,Chase Hooper,185.42,Peter Barrett,177.8,-7.62,Chase Hooper,bajo
2675,Gabriel Benitez,172.72,Justin Jaynes,170.18,-2.54,Gabriel Benitez,bajo
2676,Roman Dolidze,187.96,John Allan,185.42,-2.54,Roman Dolidze,bajo
2677,Louis Smolka,175.26,Jose Quinonez,172.72,-2.54,Louis Smolka,bajo
2678,Anthony Smith,193.04,Devin Clark,182.88,-10.16,Anthony Smith,bajo
2679,Miguel Baeza,187.96,Takashi Sato,177.8,-10.16,Miguel Baeza,bajo
2680,Jonathan Pearce,182.88,Kai Kamaka,170.18,-12.7,Jonathan Pearce,bajo
2681,Gina Mazany,167.64,Rachael Ostovich,160.02,-7.62,Gina Mazany,bajo
2682,Su Mudaerji,172.72,Malcolm Gordon,170.18,-2.54,Su Mudaerji,bajo
2683,Valentina Shevchenko,165.1,Jennifer Maia,162.56,-2.54,Valentina Shevchenko,bajo
2684,Katlyn Chookagian,175.26,Cynthia Calvillo,162.56,-12.7,Katlyn Chookagian,bajo
2685,Antonina Shevchenko,172.72,Ariane Lipski,167.64,-5.08,Antonina Shevchenko,bajo
2686,Kyle Daukaus,190.5,Dustin Stoltzfus,182.88,-7.62,Kyle Daukaus,bajo
2687,Don'Tale Mayes,198.12,Roque Martinez,177.8,-20.32,Don'Tale Mayes,bajo
2688,Andrei Arlovski,190.5,Tanner Boser,187.96,-2.54,Andrei Arlovski,bajo
2689,Raoni Barcelos,170.18,Khalid Taha,165.1,-5.08,Raoni Barcelos,bajo
2690,Giga Chikadze,182.88,Jamey Simmons,165.1,-17.78,Giga Chikadze,bajo
2691,Alexandr Romanov,187.96,Marcos Rogerio de Lima,185.42,-2.54,Alexandr Romanov,bajo
2692,Darren Elkins,177.8,Eduardo Garagorri,175.26,-2.54,Darren Elkins,bajo
2693,Max Griffin,180.34,Ramiz Brahimaj,177.8,-2.54,Max Griffin,bajo
2694,Kevin Holland,190.5,Charlie Ontiveros,187.96,-2.54,Kevin Holland,bajo
2695,Adrian Yanez,170.18,Victor Rodriguez,165.1,-5.08,Adrian Yanez,bajo
2696,Sean Strickland,185.42,Jack Marshman,182.88,-2.54,Sean Strickland,bajo
2697,Miles Johns,170.18,Kevin Natividad,167.64,-2.54,Miles Johns,bajo
2698,Robert Whittaker,182.88,Jared Cannonier,180.34,-2.54,Robert Whittaker,bajo
2699,Alexander Volkov,200.66,Walt Harris,195.58,-5.08,Alexander Volkov,bajo
2700,Lauren Murphy,165.1,Liliya Shakirova,162.56,-2.54,Lauren Murphy,bajo
2701,Magomed Ankalaev,190.5,Ion Cutelaba,185.42,-5.08,Magomed Ankalaev,bajo
2702,Brian Ortega,172.72,Chan Sung Jung,170.18,-2.54,Brian Ortega,bajo
2703,Edson Barboza,180.34,Makwan Amirkhani,177.8,-2.54,Edson Barboza,bajo
2704,Tom Aspinall,195.58,Alan Baudot,190.5,-5.08,Tom Aspinall,bajo
2705,Chris Daukaus,190.5,Rodrigo Nascimento,187.96,-2.54,Chris Daukaus,bajo
2706,Giga Chikadze,182.88,Omar Morales,180.34,-2.54,Giga Chikadze,bajo
2707,Germaine de Randamie,175.26,Julianna Pena,167.64,-7.62,Germaine de Randamie,bajo
