,weight_class
2885,Women's Strawweight
2886,Women's Strawweight
2887,Women's Strawweight
2888,Women's Strawweight
2889,Women's Strawweight
2890,Women's Strawweight
2891,Women's Strawweight
2900,Women's Bantamweight
2913,Women's Strawweight
2922,Women's Bantamweight
2930,Women's Strawweight
2984,Women's Bantamweight
2994,Women's Bantamweight
3008,Women's Bantamweight
3025,Women's Bantamweight
3051,Women's Bantamweight
3059,Women's Bantamweight
3071,Women's Strawweight
3090,Women's Bantamweight
3093,Women's Strawweight
3105,Women's Bantamweight
3140,Women's Bantamweight
3210,Women's Bantamweight
3214,Women's Bantamweight
3232,Women's Bantamweight
3262,Women's Bantamweight
3285,Women's Bantamweight
3290,Women's Bantamweight
3353,Women's Bantamweight
3377,Women's Bantamweight
3384,Women's Bantamweight
3386,Women's Bantamweight
3387,Women's Bantamweight
3417,Women's Bantamweight
3424,Women's Bantamweight
3435,Women's Bantamweight
3527,Women's Bantamweight
3536,Women's Bantamweight
3542,Women's Bantamweight
3559,Women's Bantamweight
3610,Women's Bantamweight
3628,Women's Bantamweight
3673,Women's Bantamweight
